T,F
0.0,0.0012283333333333
0.005,0.7050247363333334
0.01,2.253054311666667
0.015,4.4254888
0.02,5.973632843666667
0.025000000000000005,7.265235907333332
0.03,8.129469571
0.035,8.602438609000002
0.04,8.864167536
0.045000000000000005,9.027464559666667
0.05000000000000001,9.043724044333333
0.055,8.909449257666667
0.06,8.838424670666667
0.065,8.756595623666668
0.07,8.643037186333334
0.075,8.604273508
0.08,8.564078008333333
0.085,8.571497649
0.09000000000000001,8.547457418999999
0.09500000000000001,8.501809447666666
0.10000000000000002,8.429632832666666
0.105,8.361677833333333
0.11,8.273454027
0.115,8.192932173666664
0.12,8.103327438333332
0.125,7.994837442333332
0.13,7.890552554666666
0.135,7.779300717999999
0.14,7.6386019503333324
0.145,7.471321106
0.15,7.273279819999999
0.155,7.077341745666668
0.16,6.884910602666667
0.165,6.699495969666668
0.17,6.537172994666666
0.17500000000000002,6.393040993333334
0.18000000000000002,6.238393158666667
0.18499999999999997,6.099845907
0.19000000000000003,5.95499929
0.19499999999999998,5.826955188666666
0.20000000000000004,5.678621928333333
0.205,5.553365061333333
0.21,5.420417814666666
0.215,5.281186465333334
0.22,5.165026347
0.225,5.048881566666666
0.23,4.915222186
0.23500000000000001,4.787165303666668
0.24,4.658401480999999
0.245,4.539449073999999
0.25,4.418411287333334
0.255,4.297365833333333
0.26,4.180501333666666
0.265,4.056648244333334
0.27,3.9390971066666665
0.275,3.804748558
0.28,3.6794891503333336
0.28500000000000003,3.554229724666667
0.29,3.41916658
0.295,3.3058039459999997
0.3,3.2008488990000004
0.305,3.087499016
0.31,2.9664408386666667
0.315,2.8488998569999997
0.32,2.7474339923333333
0.325,2.633356749666667
0.33,2.5276870736666663
0.335,2.407313079666667
0.34,2.3044281223333334
0.34500000000000003,2.1945495630000003
0.35000000000000003,2.0923742163333334
0.355,2.0048904296666668
0.36000000000000004,1.916025839666667
0.365,1.8306401506666667
0.36999999999999994,1.752934785
0.375,1.6703669416666667
0.38000000000000006,1.5751749543333335
0.385,1.5016886756666665
0.38999999999999996,1.4331079889999998
0.395,1.3526204096666667
0.4000000000000001,1.2819290066666666
0.405,1.224543295
0.41,1.1727472706666666
0.41500000000000004,1.1293436866666668
0.42,1.0754674606666665
0.425,1.01385245
0.43,0.9732361086666668
0.435,0.9333445306666667
0.44,0.8892568006666667
0.445,0.864751191
0.45,0.8416748083333333
0.455,0.8143692133333333
0.46,0.7996495490000001
0.465,0.7765401333333334
0.47000000000000003,0.745048542
0.47500000000000003,0.7191671066666667
0.48,0.700271599
0.48500000000000004,0.6855926573333333
0.49,0.670880645
0.49499999999999994,0.6680832023333334
0.5,0.6722869789999999
0.505,0.6554641813333334
0.51,0.658276882
0.515,0.6428706123333333
0.52,0.6260808233333334
0.525,0.60369873
0.53,0.5974070136666667
0.535,0.581321723
0.54,0.5694274826666667
0.545,0.5603281523333333
0.55,0.5519180303333333
0.555,0.5477116876666667
0.56,0.53580985
0.5650000000000001,0.5274073183333333
0.5700000000000001,0.5245920843333333
0.5750000000000001,0.520393385
0.5800000000000001,0.5119781663333334
0.585,0.4923782536666667
0.59,0.48678844400000004
0.595,0.4749018506666666
0.6000000000000001,0.46789805733333334
0.605,0.4497172276666666
0.61,0.425908427
0.615,0.41541292366666666
0.6200000000000001,0.40771230433333333
0.625,0.3986282266666666
0.63,0.39091492499999997
0.635,0.3643061353333333
0.6400000000000001,0.3545074693333334
0.645,0.34538017733333337
0.65,0.3313446013333333
0.655,0.33132933266666664
0.6600000000000001,0.31313070866666665
0.665,0.304712936
0.67,0.29560090766666663
0.6750000000000002,0.28858948199999995
0.6800000000000002,0.2682902373333333
0.685,0.2486903176666667
0.6900000000000001,0.22699228433333332
0.695,0.20249432999999994
0.7000000000000002,0.1793976003333333
0.7050000000000001,0.16190337833333332
0.71,0.136645
0.715,0.12755586666666666
0.7200000000000001,0.11495973333333333
0.7250000000000001,0.1009598
0.7300000000000001,0.09746553333333334
