Data Set 2:Time(s),Data Set 2:Force 1(N),Data Set 2:Force 2(N),Total Force,Integral of force,,
0.52,-2.941917419,-3.267753601,6.20967102,,,
0.525,-2.866485596,-3.187843323,6.054328919,,,
0.53,-2.786857605,-3.107940674,5.894798279,,,
0.535,-2.713516235,-3.028030396,5.741546631,,,
0.54,-2.652755737,-2.956535339,5.609291076,,,
0.545,-2.57522583,-2.893455505,5.468681335,,,
0.55,-2.50188446,-2.824058533,5.325942993,,,
0.555,-2.424354553,-2.750465393,5.174819946,,,
0.56,-2.353111267,-2.674758911,5.027870178,,,
0.565,-2.288154602,-2.603263855,4.891418457,,,
0.57,-2.210624695,-2.527565002,4.738189697,,,
0.575,-2.143577576,-2.458175659,4.601753235,,,
0.58,-2.076522827,-2.397193909,4.473716736,,,
0.585,-2.007377625,-2.319389343,4.326766968,,,
0.59,-1.942420959,-2.254203796,4.196624755,,,
0.595,-1.862792969,-2.18270874,4.045501709,,,
0.6,-1.79573822,-2.098594666,3.894332886,,,
0.605,-1.720306396,-2.022895813,3.743202209,,,
0.61,-1.638587952,-1.921958923,3.560546875,,,
0.615,-1.573631287,-1.863082886,3.436714173,,,
0.62,-1.504486084,-1.804206848,3.308692932,,,
0.625,-1.433242798,-1.741119385,3.174362183,,,
0.63,-1.351516724,-1.654907227,3.006423951,,,
0.635,-1.273994446,-1.59602356,2.870018006,,,
0.64,-1.209037781,-1.543457031,2.752494812,,,
0.645,-1.150360107,-1.486679077,2.637039184,,,
0.65,-1.087501526,-1.42149353,2.508995056,,,
0.655,-1.026733398,-1.364715576,2.391448974,,,
0.66,-0.974349976,-1.303733826,2.278083802,,,
0.665,-0.924064636,-1.244857788,2.168922424,,,
0.67,-0.867485046,-1.183876038,2.051361084,,,
0.675,-0.823486328,-1.129203796,1.952690124,,,
0.68,-0.77947998,-1.087150574,1.866630554,,,
0.685,-0.727096558,-1.036682129,1.763778687,,,
0.69,-0.714523315,-0.979904175,1.69442749,,,
0.695,-0.66632843,-0.92943573,1.59576416,,,
0.7,-0.616043091,-0.887382507,1.503425598,,,
0.705,-0.59299469,-0.843223572,1.436218262,,,
0.71,-0.557373047,-0.811683655,1.369056702,,,
0.715,-0.525939941,-0.763320923,1.289260864,,,
0.72,-0.498703003,-0.708641052,1.207344055,,,
0.725,-0.475646973,-0.698127747,1.17377472,,,
0.73,-0.467269897,-0.69392395,1.161193847,,,
0.735,-0.46308136,-0.677101135,1.140182495,,,
0.74,-0.444221497,-0.66027832,1.104499817,,,
0.745,-0.431648254,-0.647666931,1.079315185,,,
0.75,-0.429550171,-0.62663269,1.056182861,,,
0.755,-0.416976929,-0.618225098,1.035202027,,,
0.76,-0.400215149,-0.611915588,1.012130737,,,
0.765,-0.404411316,-0.607711792,1.012123108,,,
0.77,-0.400215149,-0.620330811,1.02054596,,,
0.775,-0.414886475,-0.6329422,1.047828675,,,
0.78,-0.437934875,-0.624534607,1.062469482,,,
0.785,-0.448410034,-0.614021301,1.062431335,,,
0.79,-0.437934875,-0.597198486,1.035133361,,,
0.795,-0.412788391,-0.588783264,1.001571655,,,
0.8,-0.40650177,-0.574066162,0.980567932,,,
0.805,-0.402313232,-0.576171875,0.978485107,,,
0.81,-0.402313232,-0.550933838,0.95324707,,,
0.815,-0.398124695,-0.557243347,0.955368042,,,
0.82,-0.404411316,-0.563552856,0.967964172,,,
0.825,-0.400215149,-0.52570343,0.925918579,,,
0.83,-0.400215149,-0.540420532,0.940635681,,,
0.835,-0.400215149,-0.534111023,0.934326172,,,
0.84,-0.381355286,-0.504676819,0.886032105,,,
0.845,-0.345733643,-0.479438782,0.825172425,,,
0.85,-0.326881409,-0.462615967,0.789497376,,,
0.855,-0.308021545,-0.437385559,0.745407104,,,
0.86,-0.284973145,-0.410049438,0.695022583,,,
0.865,-0.268211365,-0.389022827,0.657234192,,,
0.87,-0.255638123,-0.365890503,0.621528626,,,
0.875,-0.255638123,-0.346961975,0.602600098,,,
0.88,-0.245155334,-0.323829651,0.568984985,,,
0.885,-0.245155334,-0.300704956,0.54586029,,,
0.89,-0.251441956,-0.277572632,0.529014588,,,
0.895,-0.24306488,-0.26915741,0.51222229,,,
0.9,-0.255638123,-0.250236511,0.505874634,,,
0.905,-0.247253418,-0.220794678,0.468048096,,,
0.91,-0.234680176,-0.222900391,0.457580567,,,
0.915,-0.217918396,-0.222900391,0.440818787,,,
0.92,-0.201156616,-0.222900391,0.424057007,,,
0.925,-0.182296753,-0.218688965,0.400985718,,,
0.93,-0.167633057,-0.174537659,0.342170716,,,
0.935,-0.150863647,-0.174537659,0.325401306,,,
0.94,-0.148773193,-0.178741455,0.327514648,,,
0.945,-0.136199951,-0.185050964,0.321250915,,,
0.95,-0.134101868,-0.176635742,0.31073761,,,
0.955,-0.125724792,-0.168228149,0.293952941,,,
