Data Set 5:Time(s),Data Set 5:Force 1(N),Data Set 5:Force 2(N),
2.91,-0.5238419,-0.3806076,0.9044495
2.915,-0.5196533,-0.3953247,0.914978
2.92,-0.5238419,-0.4037399,0.9275818
2.925,-0.5175552,-0.3995361,0.9170913
2.93,-0.5259399,-0.4037399,0.9296798
2.935,-0.5259399,-0.3700943,0.8960342
2.94,-0.5175552,-0.3911209,0.9086761
2.945,-0.5175552,-0.3932266,0.9107818
2.95,-0.5259399,-0.4037399,0.9296798
2.955,-0.528038,-0.4079437,0.9359817
2.96,-0.5238419,-0.405838,0.9296799
2.965,-0.5238419,-0.4142532,0.9380951
2.97,-0.5259399,-0.405838,0.9317779
2.975,-0.5259399,-0.4163589,0.9422988
2.98,-0.5322266,-0.4121475,0.9443741
2.985,-0.5364151,-0.4037399,0.940155
2.99,-0.5385132,-0.418457,0.9569702
2.995,-0.5406036,-0.418457,0.9590606
3,-0.5322266,-0.418457,0.9506836
3.005,-0.5364151,-0.4142532,0.9506683
3.01,-0.5301285,-0.4163589,0.9464874
3.015,-0.528038,-0.405838,0.933876
3.02,-0.5259399,-0.405838,0.9317779
3.025,-0.5259399,-0.405838,0.9317779
3.03,-0.5196533,-0.3911209,0.9107742
3.035,-0.528038,-0.3890228,0.9170608
3.04,-0.5238419,-0.4037399,0.9275818
3.045,-0.528038,-0.3700943,0.8981323
3.05,-0.5217514,-0.3890228,0.9107742
3.055,-0.528038,-0.3974304,0.9254684
3.06,-0.5259399,-0.4037399,0.9296798
3.065,-0.5259399,-0.4121475,0.9380874
3.07,-0.5385132,-0.4142532,0.9527664
3.075,-0.5259399,-0.4121475,0.9380874
3.08,-0.528038,-0.4121475,0.9401855
3.085,-0.5238419,-0.4121475,0.9359894
3.09,-0.5217514,-0.4100494,0.9318008
3.095,-0.5238419,-0.4100494,0.9338913
3.1,-0.5259399,-0.4142532,0.9401931
3.105,-0.5217514,-0.4079437,0.9296951
3.11,-0.5217514,-0.4121475,0.9338989
3.115,-0.5238419,-0.4226608,0.9465027
3.12,-0.5217514,-0.3806076,0.902359
3.125,-0.528038,-0.3953247,0.9233627
3.13,-0.5259399,-0.4016342,0.9275741
3.135,-0.5322266,-0.4079437,0.9401703
3.14,-0.528038,-0.4037399,0.9317779
3.145,-0.5343246,-0.4079437,0.9422683
3.15,-0.5385132,-0.4142532,0.9527664
3.155,-0.528038,-0.4100494,0.9380874
3.16,-0.5238419,-0.4142532,0.9380951
3.165,-0.5259399,-0.4079437,0.9338836
3.17,-0.5238419,-0.4079437,0.9317856
3.175,-0.528038,-0.4121475,0.9401855
3.18,-0.5217514,-0.4163589,0.9381103
3.185,-0.5154648,-0.418457,0.9339218
3.19,-0.5175552,-0.418457,0.9360122
3.195,-0.5217514,-0.4226608,0.9444122
3.2,-0.528038,-0.4205627,0.9486007
3.205,-0.5217514,-0.4205627,0.9423141
3.21,-0.5175552,-0.3995361,0.9170913
3.215,-0.5196533,-0.4163589,0.9360122
3.22,-0.5301285,-0.4205627,0.9506912
3.225,-0.5322266,-0.4226608,0.9548874
3.23,-0.5217514,-0.4121475,0.9338989
3.235,-0.5238419,-0.418457,0.9422989
3.24,-0.5238419,-0.4121475,0.9359894
3.245,-0.5154648,-0.418457,0.9339218
3.25,-0.5259399,-0.4163589,0.9422988
3.255,-0.5217514,-0.3785019,0.9002533
3.26,-0.5217514,-0.3848114,0.9065628
3.265,-0.5238419,-0.3911209,0.9149628
3.27,-0.5301285,-0.3932266,0.9233551
3.275,-0.5322266,-0.405838,0.9380646
3.28,-0.5259399,-0.4163589,0.9422988
3.285,-0.5259399,-0.4142532,0.9401931
3.29,-0.5259399,-0.4142532,0.9401931
3.295,-0.5322266,-0.4163589,0.9485855
3.3,-0.5301285,-0.4121475,0.942276
3.305,-0.528038,-0.4163589,0.9443969
3.31,-0.5238419,-0.4205627,0.9444046
3.315,-0.5385132,-0.4100494,0.9485626
3.32,-0.5343246,-0.4100494,0.944374
3.325,-0.528038,-0.4163589,0.9443969
3.33,-0.5259399,-0.3911209,0.9170608
3.335,-0.5322266,-0.4037399,0.9359665
3.34,-0.5343246,-0.4079437,0.9422683
3.345,-0.5238419,-0.4142532,0.9380951
3.35,-0.5343246,-0.4100494,0.944374
3.355,-0.5259399,-0.4121475,0.9380874
3.36,-0.5364151,-0.4100494,0.9464645
3.365,-0.5322266,-0.4142532,0.9464798
3.37,-0.5343246,-0.4121475,0.9464721
3.375,-0.5301285,-0.418457,0.9485855
3.38,-0.5385132,-0.4142532,0.9527664
3.385,-0.5259399,-0.418457,0.9443969
3.39,-0.5217514,-0.4205627,0.9423141
3.395,-0.5238419,-0.4079437,0.9317856
3.4,-0.5301285,-0.418457,0.9485855
3.405,-0.5322266,-0.4121475,0.9443741
3.41,-0.5301285,-0.4142532,0.9443817
3.415,-0.5343246,-0.4121475,0.9464721
3.42,-0.5301285,-0.4037399,0.9338684
3.425,-0.5238419,-0.4037399,0.9275818
3.43,-0.5259399,-0.4142532,0.9401931
3.435,-0.528038,-0.4079437,0.9359817
3.44,-0.5364151,-0.4100494,0.9464645
3.445,-0.5343246,-0.418457,0.9527816
3.45,-0.528038,-0.4142532,0.9422912
3.455,-0.5238419,-0.4163589,0.9402008
3.46,-0.5343246,-0.4163589,0.9506835
3.465,-0.5301285,-0.3848114,0.9149399
3.47,-0.5238419,-0.3953247,0.9191666
3.475,-0.528038,-0.405838,0.933876
3.48,-0.5217514,-0.4037399,0.9254913
3.485,-0.5259399,-0.4079437,0.9338836
3.49,-0.5301285,-0.4037399,0.9338684
3.495,-0.5175552,-0.4121475,0.9297027
3.5,-0.5196533,-0.4121475,0.9318008
3.505,-0.5238419,-0.4100494,0.9338913
3.51,-0.5259399,-0.3890228,0.9149627
3.515,-0.5238419,-0.4037399,0.9275818
3.52,-0.5343246,-0.405838,0.9401626
3.525,-0.5217514,-0.405838,0.9275894
3.53,-0.5217514,-0.4100494,0.9318008
3.535,-0.5217514,-0.4121475,0.9338989
3.54,-0.5322266,-0.4121475,0.9443741
3.545,-0.528038,-0.405838,0.933876
3.55,-0.5364151,-0.4121475,0.9485626
3.555,-0.5322266,-0.4205627,0.9527893
3.56,-0.5301285,-0.418457,0.9485855
3.565,-0.5301285,-0.3806076,0.9107361
3.57,-0.5238419,-0.3827133,0.9065552
3.575,-0.5259399,-0.3995361,0.925476
3.58,-0.5343246,-0.4037399,0.9380645
3.585,-0.528038,-0.405838,0.933876
3.59,-0.5343246,-0.4079437,0.9422683
3.595,-0.528038,-0.4079437,0.9359817
3.6,-0.5196533,-0.4121475,0.9318008
3.605,-0.5238419,-0.4163589,0.9402008
3.61,-0.5364151,-0.4247665,0.9611816
3.615,-0.5364151,-0.4247665,0.9611816
3.62,-0.5196533,-0.4205627,0.940216
3.625,-0.5259399,-0.418457,0.9443969
3.63,-0.5217514,-0.3890228,0.9107742
3.635,-0.5259399,-0.3995361,0.925476
3.64,-0.5301285,-0.4100494,0.9401779
3.645,-0.5196533,-0.4100494,0.9297027
3.65,-0.5238419,-0.4163589,0.9402008
3.655,-0.5259399,-0.418457,0.9443969
3.66,-0.528038,-0.418457,0.946495
3.665,-0.5259399,-0.4226608,0.9486007
3.67,-0.5238419,-0.418457,0.9422989
3.675,-0.528038,-0.3953247,0.9233627
3.68,-0.5301285,-0.3995361,0.9296646
3.685,-0.5217514,-0.4037399,0.9254913
3.69,-0.5301285,-0.418457,0.9485855
3.695,-0.5259399,-0.4163589,0.9422988
3.7,-0.5217514,-0.4163589,0.9381103
3.705,-0.5133667,-0.4205627,0.9339294
3.71,-0.5196533,-0.418457,0.9381103
3.715,-0.5301285,-0.4121475,0.942276
3.72,-0.5196533,-0.3932266,0.9128799
3.725,-0.5175552,-0.4121475,0.9297027
3.73,-0.528038,-0.4142532,0.9422912
3.735,-0.5301285,-0.4226608,0.9527893
3.74,-0.5175552,-0.4121475,0.9297027
3.745,-0.5196533,-0.4142532,0.9339065
3.75,-0.5196533,-0.4142532,0.9339065
3.755,-0.5154648,-0.4100494,0.9255142
3.76,-0.5238419,-0.4142532,0.9380951
3.765,-0.528038,-0.4247665,0.9528045
3.77,-0.5196533,-0.4226608,0.9423141
3.775,-0.528038,-0.4163589,0.9443969
3.78,-0.5259399,-0.3827133,0.9086532
3.785,-0.5259399,-0.3911209,0.9170608
3.79,-0.5238419,-0.4037399,0.9275818
3.795,-0.5301285,-0.4037399,0.9338684
3.8,-0.5217514,-0.4142532,0.9360046
3.805,-0.5238419,-0.4163589,0.9402008
3.81,-0.5091782,-0.3742981,0.8834763
3.815,-0.5154648,-0.3953247,0.9107895
3.82,-0.5217514,-0.4037399,0.9254913
3.825,-0.5259399,-0.3974304,0.9233703
3.83,-0.5217514,-0.4121475,0.9338989
3.835,-0.5196533,-0.4121475,0.9318008
3.84,-0.5322266,-0.405838,0.9380646
3.845,-0.5343246,-0.4142532,0.9485778
3.85,-0.528038,-0.4163589,0.9443969
3.855,-0.5322266,-0.4163589,0.9485855
3.86,-0.5238419,-0.4205627,0.9444046
3.865,-0.5406036,-0.4121475,0.9527511
3.87,-0.528038,-0.418457,0.946495
3.875,-0.5238419,-0.418457,0.9422989
3.88,-0.5196533,-0.4205627,0.940216
3.885,-0.5259399,-0.3827133,0.9086532
3.89,-0.5259399,-0.3974304,0.9233703
3.895,-0.5154648,-0.418457,0.9339218
3.9,-0.5196533,-0.4142532,0.9339065
3.905,-0.5154648,-0.4163589,0.9318237
3.91,-0.5238419,-0.4205627,0.9444046
3.915,-0.5259399,-0.418457,0.9443969
3.92,-0.5175552,-0.4247665,0.9423217
3.925,-0.5196533,-0.4163589,0.9360122
3.93,-0.5154648,-0.3974304,0.9128952
3.935,-0.5196533,-0.3995361,0.9191894
3.94,-0.5154648,-0.4079437,0.9234085
3.945,-0.5196533,-0.418457,0.9381103
3.95,-0.5238419,-0.4163589,0.9402008
3.955,-0.5301285,-0.418457,0.9485855
3.96,-0.528038,-0.4121475,0.9401855
3.965,-0.528038,-0.4079437,0.9359817
3.97,-0.5259399,-0.4142532,0.9401931
3.975,-0.5238419,-0.4100494,0.9338913
3.98,-0.528038,-0.4226608,0.9506988
3.985,-0.5217514,-0.4205627,0.9423141
3.99,-0.5259399,-0.3785019,0.9044418
3.995,-0.5259399,-0.3911209,0.9170608
4,-0.5238419,-0.4037399,0.9275818
4.005,-0.5322266,-0.4121475,0.9443741
4.01,-0.5259399,-0.4121475,0.9380874
4.015,-0.5217514,-0.4121475,0.9338989
4.02,-0.5217514,-0.3869171,0.9086685
4.025,-0.5175552,-0.3911209,0.9086761
4.03,-0.5196533,-0.4079437,0.927597
4.035,-0.528038,-0.418457,0.946495
4.04,-0.528038,-0.4100494,0.9380874
4.045,-0.528038,-0.4163589,0.9443969
4.05,-0.5238419,-0.4079437,0.9317856
4.055,-0.5238419,-0.405838,0.9296799
4.06,-0.5385132,-0.4079437,0.9464569
4.065,-0.5364151,-0.405838,0.9422531
4.07,-0.5259399,-0.4121475,0.9380874
4.075,-0.5322266,-0.418457,0.9506836
4.08,-0.5217514,-0.4142532,0.9360046
4.085,-0.5091782,-0.4079437,0.9171219
4.09,-0.528038,-0.3679886,0.8960266
4.095,-0.5259399,-0.3848114,0.9107513
4.1,-0.5238419,-0.4016342,0.9254761
4.105,-0.5301285,-0.405838,0.9359665
4.11,-0.5259399,-0.3827133,0.9086532
4.115,-0.5154648,-0.3932266,0.9086914
4.12,-0.5322266,-0.405838,0.9380646
4.125,-0.5322266,-0.4037399,0.9359665
4.13,-0.5238419,-0.4121475,0.9359894
4.135,-0.5133667,-0.4121475,0.9255142
4.14,-0.5175552,-0.4100494,0.9276046
4.145,-0.5238419,-0.405838,0.9296799
4.15,-0.5175552,-0.4100494,0.9276046
4.155,-0.5154648,-0.4142532,0.929718
4.16,-0.5175552,-0.4121475,0.9297027
4.165,-0.5217514,-0.4079437,0.9296951
4.17,-0.528038,-0.4079437,0.9359817
4.175,-0.5175552,-0.4121475,0.9297027
4.18,-0.5175552,-0.4121475,0.9297027
4.185,-0.5133667,-0.418457,0.9318237
4.19,-0.5133667,-0.3995361,0.9129028
4.195,-0.5175552,-0.3890228,0.906578
4.2,-0.5175552,-0.3890228,0.906578
4.205,-0.5238419,-0.3932266,0.9170685
4.21,-0.5175552,-0.405838,0.9233932
4.215,-0.5175552,-0.4142532,0.9318084
4.22,-0.5133667,-0.4163589,0.9297256
4.225,-0.5175552,-0.4142532,0.9318084
4.23,-0.5112686,-0.3785019,0.8897705
4.235,-0.5154648,-0.4016342,0.917099
4.24,-0.5070801,-0.405838,0.9129181
4.245,-0.5091782,-0.405838,0.9150162
4.25,-0.5070801,-0.4100494,0.9171295
4.255,-0.5133667,-0.4121475,0.9255142
4.26,-0.5133667,-0.4016342,0.9150009
4.265,-0.5112686,-0.418457,0.9297256
4.27,-0.5091782,-0.4121475,0.9213257
4.275,-0.5091782,-0.4121475,0.9213257
4.28,-0.5070801,-0.4079437,0.9150238
4.285,-0.5133667,-0.4142532,0.9276199
4.29,-0.5070801,-0.4121475,0.9192276
4.295,-0.5133667,-0.4268723,0.940239
4.3,-0.5133667,-0.3722,0.8855667
4.305,-0.5196533,-0.3974304,0.9170837
4.31,-0.5196533,-0.3974304,0.9170837
4.315,-0.5175552,-0.405838,0.9233932
4.32,-0.5112686,-0.3911209,0.9023895
4.325,-0.5133667,-0.3995361,0.9129028
4.33,-0.5175552,-0.405838,0.9233932
4.335,-0.5154648,-0.4037399,0.9192047
4.34,-0.5154648,-0.405838,0.9213028
4.345,-0.5133667,-0.4121475,0.9255142
4.35,-0.5175552,-0.4079437,0.9254989
4.355,-0.5196533,-0.4163589,0.9360122
4.36,-0.5175552,-0.4163589,0.9339141
4.365,-0.5154648,-0.4163589,0.9318237
4.37,-0.5133667,-0.4142532,0.9276199
4.375,-0.5091782,-0.4100494,0.9192276
4.38,-0.5175552,-0.4079437,0.9254989
4.385,-0.5238419,-0.4100494,0.9338913
4.39,-0.5154648,-0.4079437,0.9234085
4.395,-0.5217514,-0.4100494,0.9318008
4.4,-0.5154648,-0.4100494,0.9255142
4.405,-0.5196533,-0.3806076,0.9002609
4.41,-0.5070801,-0.3574753,0.8645554
4.415,-0.5112686,-0.3848114,0.89608
4.42,-0.5154648,-0.3911209,0.9065857
4.425,-0.5217514,-0.3911209,0.9128723
4.43,-0.5217514,-0.4037399,0.9254913
4.435,-0.5238419,-0.405838,0.9296799
4.44,-0.5175552,-0.405838,0.9233932
4.445,-0.5133667,-0.405838,0.9192047
4.45,-0.5070801,-0.405838,0.9129181
4.455,-0.5070801,-0.4142532,0.9213333
4.46,-0.5175552,-0.4205627,0.9381179
4.465,-0.5217514,-0.4121475,0.9338989
4.47,-0.5196533,-0.405838,0.9254913
4.475,-0.5112686,-0.4100494,0.921318
4.48,-0.5112686,-0.4142532,0.9255218
4.485,-0.5154648,-0.4226608,0.9381256
4.49,-0.5217514,-0.4163589,0.9381103
4.495,-0.5175552,-0.4121475,0.9297027
4.5,-0.5196533,-0.4100494,0.9297027
4.505,-0.5196533,-0.3722,0.8918533
4.51,-0.528038,-0.3827133,0.9107513
4.515,-0.5196533,-0.3932266,0.9128799
4.52,-0.5133667,-0.4016342,0.9150009
4.525,-0.5133667,-0.4121475,0.9255142
4.53,-0.5196533,-0.3953247,0.914978
4.535,-0.5238419,-0.405838,0.9296799
4.54,-0.5175552,-0.4037399,0.9212951
4.545,-0.5196533,-0.4079437,0.927597
4.55,-0.5112686,-0.4079437,0.9192123
4.555,-0.5112686,-0.4100494,0.921318
4.56,-0.5133667,-0.4037399,0.9171066
4.565,-0.5112686,-0.4142532,0.9255218
4.57,-0.5133667,-0.405838,0.9192047
4.575,-0.5154648,-0.4079437,0.9234085
4.58,-0.5133667,-0.4079437,0.9213104
4.585,-0.5133667,-0.4079437,0.9213104
4.59,-0.5028915,-0.4100494,0.9129409
4.595,-0.5133667,-0.405838,0.9192047
4.6,-0.5259399,-0.4016342,0.9275741
4.605,-0.5196533,-0.4100494,0.9297027
4.61,-0.5175552,-0.3679886,0.8855438
4.615,-0.5112686,-0.3974304,0.908699
4.62,-0.5070801,-0.3764038,0.8834839
4.625,-0.5133667,-0.3932266,0.9065933
4.63,-0.5217514,-0.3995361,0.9212875
4.635,-0.5133667,-0.4205627,0.9339294
4.64,-0.5070801,-0.4079437,0.9150238
4.645,-0.5112686,-0.4163589,0.9276275
4.65,-0.5154648,-0.4100494,0.9255142
4.655,-0.5154648,-0.4121475,0.9276123
4.66,-0.5154648,-0.4121475,0.9276123
4.665,-0.5217514,-0.405838,0.9275894
4.67,-0.5112686,-0.4142532,0.9255218
4.675,-0.5091782,-0.4121475,0.9213257
4.68,-0.5049896,-0.4079437,0.9129333
4.685,-0.5154648,-0.4163589,0.9318237
4.69,-0.5028915,-0.4079437,0.9108352
4.695,-0.5049896,-0.405838,0.9108276
4.7,-0.5028915,-0.4079437,0.9108352
4.705,-0.5133667,-0.4079437,0.9213104
4.71,-0.5070801,-0.3974304,0.9045105
4.715,-0.5028915,-0.3911209,0.8940124
4.72,-0.5070801,-0.3785019,0.885582
4.725,-0.5154648,-0.3911209,0.9065857
4.73,-0.5028915,-0.4037399,0.9066314
4.735,-0.5133667,-0.4100494,0.9234161
4.74,-0.5154648,-0.4100494,0.9255142
4.745,-0.5196533,-0.4142532,0.9339065
4.75,-0.5154648,-0.4205627,0.9360275
4.755,-0.5196533,-0.418457,0.9381103
4.76,-0.5070801,-0.4121475,0.9192276
4.765,-0.5112686,-0.4100494,0.921318
4.77,-0.5154648,-0.405838,0.9213028
4.775,-0.5133667,-0.4016342,0.9150009
4.78,-0.5259399,-0.4079437,0.9338836
4.785,-0.5196533,-0.4121475,0.9318008
4.79,-0.5196533,-0.4121475,0.9318008
4.795,-0.5175552,-0.4037399,0.9212951
4.8,-0.5133667,-0.4016342,0.9150009
4.805,-0.5196533,-0.405838,0.9254913
4.81,-0.528038,-0.4142532,0.9422912
4.815,-0.5133667,-0.4163589,0.9297256
4.82,-0.5049896,-0.3806076,0.8855972
4.825,-0.5154648,-0.3911209,0.9065857
4.83,-0.5133667,-0.3827133,0.89608
4.835,-0.5112686,-0.3953247,0.9065933
4.84,-0.5133667,-0.4037399,0.9171066
4.845,-0.5175552,-0.4037399,0.9212951
4.85,-0.5175552,-0.4100494,0.9276046
4.855,-0.5112686,-0.4142532,0.9255218
4.86,-0.5196533,-0.4100494,0.9297027
4.865,-0.5112686,-0.4163589,0.9276275
4.87,-0.5133667,-0.4100494,0.9234161
4.875,-0.5217514,-0.4121475,0.9338989
4.88,-0.5133667,-0.405838,0.9192047
4.885,-0.5322266,-0.4142532,0.9464798
4.89,-0.528038,-0.4121475,0.9401855
4.895,-0.5238419,-0.3974304,0.9212723
4.9,-0.5133667,-0.4079437,0.9213104
4.905,-0.5154648,-0.4100494,0.9255142
4.91,-0.5133667,-0.4142532,0.9276199
4.915,-0.5133667,-0.4205627,0.9339294
4.92,-0.5154648,-0.3679886,0.8834534
4.925,-0.5196533,-0.3616867,0.88134
4.93,-0.5112686,-0.3764038,0.8876724
4.935,-0.5217514,-0.3848114,0.9065628
4.94,-0.5133667,-0.3974304,0.9107971
4.945,-0.5238419,-0.4016342,0.9254761
4.95,-0.5175552,-0.4037399,0.9212951
4.955,-0.5196533,-0.405838,0.9254913
4.96,-0.5154648,-0.405838,0.9213028
4.965,-0.5217514,-0.4163589,0.9381103
4.97,-0.5112686,-0.4100494,0.921318
4.975,-0.5196533,-0.4100494,0.9297027
4.98,-0.5217514,-0.405838,0.9275894
4.985,-0.5175552,-0.4079437,0.9254989
4.99,-0.5238419,-0.4100494,0.9338913
4.995,-0.5322266,-0.4079437,0.9401703
5,-0.5196533,-0.4079437,0.927597
5.005,-0.5217514,-0.4163589,0.9381103
5.01,-0.5154648,-0.3890228,0.9044876
5.015,-0.5154648,-0.405838,0.9213028
5.02,-0.5259399,-0.4100494,0.9359893
5.025,-0.5301285,-0.4037399,0.9338684
5.03,-0.5301285,-0.4100494,0.9401779
5.035,-0.5217514,-0.3848114,0.9065628
5.04,-0.528038,-0.3932266,0.9212646
5.045,-0.5238419,-0.3953247,0.9191666
5.05,-0.528038,-0.4037399,0.9317779
5.055,-0.5133667,-0.4037399,0.9171066
5.06,-0.5196533,-0.405838,0.9254913
5.065,-0.5217514,-0.4100494,0.9318008
5.07,-0.5196533,-0.4016342,0.9212875
5.075,-0.5133667,-0.4100494,0.9234161
5.08,-0.5217514,-0.4121475,0.9338989
5.085,-0.5196533,-0.4142532,0.9339065
5.09,-0.5154648,-0.4163589,0.9318237
5.095,-0.5238419,-0.4100494,0.9338913
5.1,-0.5196533,-0.4100494,0.9297027
5.105,-0.5238419,-0.4163589,0.9402008
5.11,-0.5133667,-0.4163589,0.9297256
5.115,-0.5238419,-0.4142532,0.9380951
5.12,-0.5217514,-0.4121475,0.9338989
5.125,-0.5217514,-0.4142532,0.9360046
5.13,-0.5049896,-0.3764038,0.8813934
5.135,-0.5154648,-0.3890228,0.9044876
5.14,-0.5154648,-0.3511658,0.8666306
5.145,-0.5175552,-0.3785019,0.8960571
5.15,-0.5196533,-0.3974304,0.9170837
5.155,-0.5196533,-0.4016342,0.9212875
5.16,-0.5175552,-0.4079437,0.9254989
5.165,-0.5154648,-0.4142532,0.929718
5.17,-0.5154648,-0.4121475,0.9276123
5.175,-0.5154648,-0.4121475,0.9276123
5.18,-0.5133667,-0.4163589,0.9297256
5.185,-0.5070801,-0.4100494,0.9171295
5.19,-0.5154648,-0.4100494,0.9255142
5.195,-0.5112686,-0.405838,0.9171066
5.2,-0.5091782,-0.4142532,0.9234314
5.205,-0.5091782,-0.4037399,0.9129181
5.21,-0.5091782,-0.4079437,0.9171219
5.215,-0.5154648,-0.405838,0.9213028
5.22,-0.5049896,-0.3827133,0.8877029
5.225,-0.5049896,-0.3974304,0.90242
5.23,-0.5112686,-0.4079437,0.9192123
5.235,-0.5133667,-0.4100494,0.9234161
5.24,-0.5154648,-0.3785019,0.8939667
5.245,-0.5175552,-0.3932266,0.9107818
5.25,-0.5049896,-0.3974304,0.90242
5.255,-0.5133667,-0.3932266,0.9065933
5.26,-0.5049896,-0.3995361,0.9045257
5.265,-0.5091782,-0.418457,0.9276352
5.27,-0.5028915,-0.4079437,0.9108352
5.275,-0.5049896,-0.405838,0.9108276
5.28,-0.5028915,-0.4016342,0.9045257
5.285,-0.5070801,-0.405838,0.9129181
5.29,-0.5091782,-0.4037399,0.9129181
5.295,-0.5112686,-0.4100494,0.921318
5.3,-0.5112686,-0.4079437,0.9192123
5.305,-0.498703,-0.4121475,0.9108505
5.31,-0.4966049,-0.3679886,0.8645935
5.315,-0.4945068,-0.3848114,0.8793182
5.32,-0.4924164,-0.3911209,0.8835373
5.325,-0.4903183,-0.3953247,0.885643
5.33,-0.4903183,-0.3932266,0.8835449
5.335,-0.4882202,-0.3890228,0.877243
5.34,-0.4777451,-0.3679886,0.8457337
5.345,-0.4840317,-0.3553772,0.8394089
5.35,-0.4777451,-0.3637848,0.8415299
5.355,-0.4798431,-0.3764038,0.8562469
5.36,-0.4651718,-0.3764038,0.8415756
5.365,-0.4651718,-0.3848114,0.8499832
5.37,-0.4630814,-0.3722,0.8352814
5.375,-0.4651718,-0.3700943,0.8352661
5.38,-0.4609833,-0.3806076,0.8415909
5.385,-0.4588852,-0.3722,0.8310852
5.39,-0.4421234,-0.3679886,0.810112
5.395,-0.446312,-0.3574753,0.8037873
5.4,-0.4421234,-0.3532715,0.7953949
5.405,-0.4442215,-0.3574753,0.8016968
5.41,-0.4358368,-0.3553772,0.791214
5.415,-0.4400253,-0.3574753,0.7975006
5.42,-0.4442215,-0.359581,0.8038025
5.425,-0.4567947,-0.3574753,0.81427
5.43,-0.446312,-0.3301392,0.7764512
5.435,-0.4588852,-0.3385544,0.7974396
5.44,-0.4546967,-0.3385544,0.7932511
5.445,-0.4651718,-0.302803,0.7679748
5.45,-0.4505081,-0.3259354,0.7764435
5.455,-0.4525986,-0.3301392,0.7827378
5.46,-0.4525986,-0.3280411,0.7806397
5.465,-0.4588852,-0.3301392,0.7890244
5.47,-0.446312,-0.3259354,0.7722474
5.475,-0.4400253,-0.3280411,0.7680664
5.48,-0.4358368,-0.3154221,0.7512589
5.485,-0.4421234,-0.3154221,0.7575455
5.49,-0.4337463,-0.3112183,0.7449646
5.495,-0.4295502,-0.3112183,0.7407685
5.5,-0.4316483,-0.3091125,0.7407608
5.505,-0.4421234,-0.302803,0.7449264
5.51,-0.4295502,-0.2964935,0.7260437
5.515,-0.4421234,-0.302803,0.7449264
5.52,-0.4337463,-0.2649536,0.6986999
5.525,-0.4295502,-0.2481308,0.677681
5.53,-0.4148865,-0.256546,0.6714325
5.535,-0.3750687,-1.6485977,2.0236664
5.54,-1.2760849,-2.9165802,4.1926651
5.545,-2.4432144,-3.6441498,6.0873642
5.55,-3.4406204,-4.2518616,7.692482
5.555,-4.2494354,-4.6429825,8.8924179
5.56,-4.7062302,-4.8112068,9.517437
5.565,-4.8256607,-5.1245232,9.9501839
5.57,-4.7502289,-5.4231186,10.1733475
5.575,-4.645462,-5.7658768,10.4113388
5.58,-4.450592,-6.0308304,10.4814224
5.585,-4.1949539,-6.167511,10.3624649
5.59,-4.0545654,-6.2326965,10.2872619
5.595,-3.9288406,-6.1633072,10.0921478
5.6,-3.8764572,-6.0371361,9.9135933
5.605,-3.9099808,-5.8857346,9.7957154
5.61,-3.9560776,-5.7238197,9.6798973
5.615,-4.0440903,-5.6123734,9.6564637
5.62,-4.0839005,-5.4967194,9.5806199
5.625,-4.1006622,-5.3894768,9.490139
5.63,-4.0797119,-5.2843361,9.364048
5.635,-4.0545654,-5.1960182,9.2505836
5.64,-4.0084686,-5.1013908,9.1098594
5.645,-3.9581757,-5.0088692,8.9670449
5.65,-3.8974075,-4.9373741,8.8347816
5.655,-3.8387375,-4.8511581,8.6898956
5.66,-3.7863541,-4.7439156,8.5302697
5.665,-3.7088242,-4.6766281,8.3854523
5.67,-3.6354904,-4.5672798,8.2027702
5.675,-3.5432892,-4.4453201,7.9886093
5.68,-3.4259491,-4.3065338,7.7324829
5.685,-3.3044205,-4.1572342,7.4616547
5.69,-3.1661224,-4.0247574,7.1908798
5.695,-3.0466843,-3.9048996,6.9515839
5.7,-2.9314423,-3.7976532,6.7290955
5.705,-2.8497162,-3.7051315,6.5548477
5.71,-2.7575226,-3.6231232,6.3806458
5.715,-2.6862793,-3.5306015,6.2168808
5.72,-2.5982742,-3.4464874,6.0447616
5.725,-2.5186462,-3.3686829,5.8873291
5.73,-2.4222641,-3.2677536,5.6900177
5.735,-2.3593979,-3.2046661,5.564064
5.74,-2.2902527,-3.1394806,5.4297333
5.745,-2.2148209,-3.0806046,5.2954255
5.75,-2.145668,-3.0028,5.148468
5.755,-2.0807114,-2.9397125,5.0204239
5.76,-2.0136642,-2.8640137,4.8776779
5.765,-1.9445114,-2.8072357,4.7517471
5.77,-1.8774643,-2.7084045,4.5858688
5.775,-1.8145981,-2.643219,4.4578171
5.78,-1.7370682,-2.5885468,4.325615
5.785,-1.6763077,-2.5191574,4.1954651
5.79,-1.6218262,-2.4455566,4.0673828
5.795,-1.5526733,-2.3803711,3.9330444
5.8,-1.4814377,-2.3193893,3.800827
5.805,-1.4039078,-2.2415848,3.6454926
5.81,-1.3473282,-2.1742935,3.5216217
5.815,-1.2907562,-2.1070099,3.3977661
5.82,-1.2299881,-2.0270996,3.2570877
5.825,-1.1713181,-1.9598083,3.1311264
5.83,-1.1210251,-1.9072418,3.0282669
5.835,-1.0602646,-1.8441544,2.904419
5.84,-1.0120697,-1.787384,2.7994537
5.845,-0.9596863,-1.7306061,2.6902924
5.85,-0.9114914,-1.6633148,2.5748062
