Data Set 5:Time(s),Data Set 5:Force 1(N),Data Set 5:Force 2(N),
0.665,-0.5322266,-0.4247665,0.9569931
0.67,-0.5427017,-0.4226608,0.9653625
0.675,-0.5447998,-0.4163589,0.9611587
0.68,-0.5447998,-0.418457,0.9632568
0.685,-0.5385132,-0.418457,0.9569702
0.69,-0.5427017,-0.4163589,0.9590606
0.695,-0.5468903,-0.4163589,0.9632492
0.7,-0.5385132,-0.4142532,0.9527664
0.705,-0.5427017,-0.3764038,0.9191055
0.71,-0.5385132,-0.3974304,0.9359436
0.715,-0.5427017,-0.4079437,0.9506454
0.72,-0.5385132,-0.3827133,0.9212265
0.725,-0.5322266,-0.3974304,0.929657
0.73,-0.5385132,-0.4079437,0.9464569
0.735,-0.5343246,-0.4163589,0.9506835
0.74,-0.5343246,-0.4100494,0.944374
0.745,-0.5343246,-0.4121475,0.9464721
0.75,-0.5259399,-0.418457,0.9443969
0.755,-0.5406036,-0.4205627,0.9611663
0.76,-0.5343246,-0.418457,0.9527816
0.765,-0.5364151,-0.4142532,0.9506683
0.77,-0.5343246,-0.4142532,0.9485778
0.775,-0.5468903,-0.4205627,0.967453
0.78,-0.5406036,-0.4205627,0.9611663
0.785,-0.5427017,-0.4142532,0.9569549
0.79,-0.5385132,-0.418457,0.9569702
0.795,-0.5364151,-0.4121475,0.9485626
0.8,-0.5385132,-0.4163589,0.9548721
0.805,-0.5364151,-0.4205627,0.9569778
0.81,-0.5364151,-0.3995361,0.9359512
0.815,-0.5385132,-0.4100494,0.9485626
0.82,-0.5406036,-0.4142532,0.9548568
0.825,-0.5343246,-0.4226608,0.9569854
0.83,-0.5406036,-0.4247665,0.9653701
0.835,-0.5489883,-0.4205627,0.969551
0.84,-0.5406036,-0.3848114,0.925415
0.845,-0.5364151,-0.3974304,0.9338455
0.85,-0.5322266,-0.4100494,0.942276
0.855,-0.5322266,-0.4079437,0.9401703
0.86,-0.5385132,-0.4121475,0.9506607
0.865,-0.5385132,-0.4226608,0.961174
0.87,-0.5406036,-0.4226608,0.9632644
0.875,-0.5406036,-0.418457,0.9590606
0.88,-0.5343246,-0.4226608,0.9569854
0.885,-0.5447998,-0.4226608,0.9674606
0.89,-0.5447998,-0.4247665,0.9695663
0.895,-0.5468903,-0.4268723,0.9737626
0.9,-0.5510864,-0.4205627,0.9716491
0.905,-0.5427017,-0.4226608,0.9653625
0.91,-0.5385132,-0.4142532,0.9527664
0.915,-0.5447998,-0.3785019,0.9233017
0.92,-0.5468903,-0.3995361,0.9464264
0.925,-0.5531769,-0.4121475,0.9653244
0.93,-0.5427017,-0.3848114,0.9275131
0.935,-0.5427017,-0.4037399,0.9464416
0.94,-0.5406036,-0.4142532,0.9548568
0.945,-0.5427017,-0.4205627,0.9632644
0.95,-0.5427017,-0.418457,0.9611587
0.955,-0.5468903,-0.4226608,0.9695511
0.96,-0.5531769,-0.4163589,0.9695358
0.965,-0.5468903,-0.4268723,0.9737626
0.97,-0.5385132,-0.4289703,0.9674835
0.975,-0.5385132,-0.4331818,0.971695
0.98,-0.5468903,-0.4289703,0.9758606
0.985,-0.5489883,-0.4226608,0.9716491
0.99,-0.5447998,-0.4205627,0.9653625
0.995,-0.5447998,-0.4163589,0.9611587
1,-0.5489883,-0.4163589,0.9653472
1.005,-0.5447998,-0.4226608,0.9674606
1.01,-0.5510864,-0.4205627,0.9716491
1.015,-0.555275,-0.4205627,0.9758377
1.02,-0.5510864,-0.3700943,0.9211807
1.025,-0.5427017,-0.3974304,0.9401321
1.03,-0.5447998,-0.3995361,0.9443359
1.035,-0.5447998,-0.418457,0.9632568
1.04,-0.555275,-0.4205627,0.9758377
1.045,-0.5385132,-0.431076,0.9695892
1.05,-0.5385132,-0.4205627,0.9590759
1.055,-0.5427017,-0.4226608,0.9653625
1.06,-0.5364151,-0.418457,0.9548721
1.065,-0.5385132,-0.418457,0.9569702
1.07,-0.5427017,-0.4100494,0.9527511
1.075,-0.5406036,-0.4247665,0.9653701
1.08,-0.5489883,-0.4163589,0.9653472
1.085,-0.555275,-0.4226608,0.9779358
1.09,-0.5406036,-0.418457,0.9590606
1.095,-0.5468903,-0.418457,0.9653473
1.1,-0.5447998,-0.4163589,0.9611587
1.105,-0.5427017,-0.4205627,0.9632644
1.11,-0.5427017,-0.3974304,0.9401321
1.115,-0.5343246,-0.3995361,0.9338607
1.12,-0.5364151,-0.4016342,0.9380493
1.125,-0.5343246,-0.3890228,0.9233474
1.13,-0.5385132,-0.4016342,0.9401474
1.135,-0.5427017,-0.4205627,0.9632644
1.14,-0.5364151,-0.4100494,0.9464645
1.145,-0.5468903,-0.4100494,0.9569397
1.15,-0.5364151,-0.4268723,0.9632874
1.155,-0.5343246,-0.4226608,0.9569854
1.16,-0.5385132,-0.418457,0.9569702
1.165,-0.5217514,-0.418457,0.9402084
1.17,-0.5364151,-0.4247665,0.9611816
1.175,-0.5322266,-0.4247665,0.9569931
1.18,-0.5364151,-0.4226608,0.9590759
1.185,-0.5364151,-0.4205627,0.9569778
1.19,-0.5385132,-0.4247665,0.9632797
1.195,-0.5447998,-0.4268723,0.9716721
1.2,-0.5447998,-0.4268723,0.9716721
1.205,-0.5468903,-0.4289703,0.9758606
1.21,-0.5406036,-0.4247665,0.9653701
1.215,-0.5385132,-0.4268723,0.9653855
1.22,-0.5406036,-0.4163589,0.9569625
1.225,-0.5343246,-0.4205627,0.9548873
1.23,-0.5301285,-0.3658905,0.896019
1.235,-0.5343246,-0.3700943,0.9044189
1.24,-0.5364151,-0.3953247,0.9317398
1.245,-0.5322266,-0.4037399,0.9359665
1.25,-0.5301285,-0.4205627,0.9506912
1.255,-0.5322266,-0.4121475,0.9443741
1.26,-0.5406036,-0.4121475,0.9527511
1.265,-0.5406036,-0.4163589,0.9569625
1.27,-0.5322266,-0.4247665,0.9569931
1.275,-0.5259399,-0.4142532,0.9401931
1.28,-0.5343246,-0.4142532,0.9485778
1.285,-0.5364151,-0.4142532,0.9506683
1.29,-0.5385132,-0.4142532,0.9527664
1.295,-0.5364151,-0.4163589,0.952774
1.3,-0.5447998,-0.418457,0.9632568
1.305,-0.5364151,-0.4247665,0.9611816
1.31,-0.5427017,-0.4142532,0.9569549
1.315,-0.5427017,-0.4247665,0.9674682
1.32,-0.5259399,-0.3995361,0.925476
1.325,-0.5343246,-0.4037399,0.9380645
1.33,-0.528038,-0.4100494,0.9380874
1.335,-0.528038,-0.3953247,0.9233627
1.34,-0.5343246,-0.3890228,0.9233474
1.345,-0.5385132,-0.4079437,0.9464569
1.35,-0.528038,-0.405838,0.933876
1.355,-0.5447998,-0.4268723,0.9716721
1.36,-0.5447998,-0.4163589,0.9611587
1.365,-0.5364151,-0.4226608,0.9590759
1.37,-0.5447998,-0.4268723,0.9716721
1.375,-0.5322266,-0.4205627,0.9527893
1.38,-0.5322266,-0.4226608,0.9548874
1.385,-0.5531769,-0.4163589,0.9695358
1.39,-0.5406036,-0.4205627,0.9611663
1.395,-0.555275,-0.4205627,0.9758377
1.4,-0.5447998,-0.4142532,0.959053
1.405,-0.5406036,-0.4205627,0.9611663
1.41,-0.5447998,-0.3806076,0.9254074
1.415,-0.5322266,-0.3974304,0.929657
1.42,-0.5385132,-0.4121475,0.9506607
1.425,-0.5364151,-0.4142532,0.9506683
1.43,-0.5510864,-0.4121475,0.9632339
1.435,-0.5364151,-0.4226608,0.9590759
1.44,-0.5447998,-0.418457,0.9632568
1.445,-0.5322266,-0.3700943,0.9023209
1.45,-0.5427017,-0.3932266,0.9359283
1.455,-0.5322266,-0.4121475,0.9443741
1.46,-0.5406036,-0.4205627,0.9611663
1.465,-0.5468903,-0.4142532,0.9611435
1.47,-0.5385132,-0.4142532,0.9527664
1.475,-0.5510864,-0.418457,0.9695434
1.48,-0.5385132,-0.4142532,0.9527664
1.485,-0.5364151,-0.4142532,0.9506683
1.49,-0.5427017,-0.4205627,0.9632644
1.495,-0.5364151,-0.4121475,0.9485626
1.5,-0.5427017,-0.4100494,0.9527511
