Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                  25",6.569249923779e-02,6.952789873114e-02,-2.573542836061e-02,6.690867893736e-02,8.035584532264e-02,-2.568126302251e-02,1.216179699574e-03,1.082794659150e-02,5.416533810084e-05
"                  26",6.087989187031e-02,6.975260421314e-02,-2.851852405941e-02,6.205661762152e-02,8.064050801790e-02,-2.837080957722e-02,1.176725751204e-03,1.088790380476e-02,1.477144821908e-04
"                  27",5.643383734325e-02,6.961478405634e-02,-3.135454876925e-02,5.773672353677e-02,8.032711211583e-02,-3.127841615751e-02,1.302886193529e-03,1.071232805949e-02,7.613261173971e-05
"                  28",5.261591740116e-02,6.897717600364e-02,-3.416527627665e-02,5.378896396789e-02,7.956572712116e-02,-3.410632418137e-02,1.173046566732e-03,1.058855111752e-02,5.895209528211e-05
"                  29",4.916183131582e-02,6.812766278858e-02,-3.700240559643e-02,5.037035870805e-02,7.885098666542e-02,-3.694979180889e-02,1.208527392234e-03,1.072332387684e-02,5.261378754042e-05
"                  30",4.594374539694e-02,6.750891167386e-02,-3.939852103651e-02,4.717098961786e-02,7.818833952951e-02,-3.934380503806e-02,1.227244220916e-03,1.067942785565e-02,5.471599844507e-05
"                  31",4.295885257665e-02,6.731801404481e-02,-4.114995766282e-02,4.401823303591e-02,7.840813735107e-02,-4.068497632019e-02,1.059380459255e-03,1.109012330625e-02,4.649813426358e-04
"                  32",4.027361375475e-02,6.742404899059e-02,-4.241519357076e-02,4.109711463620e-02,8.006396738065e-02,-4.066915202044e-02,8.235008814547e-04,1.263991839006e-02,1.746041550320e-03
"                  33",3.803730680832e-02,6.750916744728e-02,-4.319955526877e-02,3.853817214206e-02,8.233865137818e-02,-4.150816518663e-02,5.008653337373e-04,1.482948393091e-02,1.691390082138e-03
"                  34",3.624871091737e-02,6.748476724066e-02,-4.339712382136e-02,3.725638596728e-02,8.127402777270e-02,-4.178436609560e-02,1.007675049914e-03,1.378926053203e-02,1.612757725763e-03
"                  35",3.474491616692e-02,6.734034950693e-02,-4.333159164680e-02,3.610890762507e-02,8.477554230134e-02,-3.899846329080e-02,1.363991458155e-03,1.743519279441e-02,4.333128355993e-03
"                  36",3.336668968621e-02,6.716512282091e-02,-4.295409609758e-02,3.494796255397e-02,8.125514616481e-02,-4.087242122156e-02,1.581272867761e-03,1.409002334389e-02,2.081674876025e-03
"                  37",3.213718322358e-02,6.695628047493e-02,-4.241727081475e-02,3.388074328719e-02,7.900203135310e-02,-4.113396835146e-02,1.743560063612e-03,1.204575087816e-02,1.283302463294e-03
"                  38",3.128022137072e-02,6.676410147716e-02,-4.168549059685e-02,3.247077677137e-02,8.100993608723e-02,-3.908666834327e-02,1.190555400658e-03,1.424583461007e-02,2.598822253578e-03
"                  39",3.086156157475e-02,6.655791963838e-02,-4.059201778237e-02,3.186079585663e-02,8.212753380588e-02,-3.808449572707e-02,9.992342818805e-04,1.556961416750e-02,2.507522055296e-03
"                  40",3.070257232334e-02,6.632183720763e-02,-3.946772114372e-02,3.216057910186e-02,8.299741181490e-02,-3.461705248848e-02,1.458006778528e-03,1.667557460727e-02,4.850668655234e-03
"                  41",3.049387907603e-02,6.613432287961e-02,-3.875543354536e-02,3.218896660104e-02,8.066493634497e-02,-3.621733358468e-02,1.695087525015e-03,1.453061346536e-02,2.538099960684e-03
"                  42",3.013400175216e-02,6.591017226602e-02,-3.850555495884e-02,3.206949836517e-02,7.990813568103e-02,-3.646536150410e-02,1.935496613015e-03,1.399796341502e-02,2.040193454741e-03
"                  43",2.993390634933e-02,6.541416822813e-02,-3.726216400785e-02,3.144124899916e-02,8.043835729986e-02,-3.340088820330e-02,1.507342649832e-03,1.502418907173e-02,3.861275804550e-03
"                  44",3.010220562956e-02,6.482565982355e-02,-3.564950952709e-02,3.112246497350e-02,8.082176766653e-02,-3.239733485934e-02,1.020259343931e-03,1.599610784298e-02,3.252174667749e-03
"                  45",3.055585735214e-02,6.421105921529e-02,-3.379405667195e-02,3.192112678202e-02,7.952914687453e-02,-3.031018483112e-02,1.365269429880e-03,1.531808765925e-02,3.483871840823e-03
"                  46",3.112539192275e-02,6.365846536911e-02,-3.206178586791e-02,3.240281453144e-02,7.862278852646e-02,-2.847007196609e-02,1.277422608683e-03,1.496432315735e-02,3.591713901816e-03
"                  47",3.179420621813e-02,6.322005666630e-02,-3.060467504865e-02,3.298512914252e-02,7.999372584120e-02,-2.627240366782e-02,1.190922924382e-03,1.677366917490e-02,4.332271380834e-03
"                  48",3.261434080194e-02,6.278333216548e-02,-2.929479012402e-02,3.412833468774e-02,7.724244255551e-02,-2.644394241263e-02,1.513993885802e-03,1.445911039002e-02,2.850847711387e-03
"                  49",3.363518207101e-02,6.232589173265e-02,-2.816187584698e-02,3.504410565359e-02,7.566098100035e-02,-2.657285215381e-02,1.408923582579e-03,1.333508926770e-02,1.589023693176e-03
"                  50",3.490963382180e-02,6.186727055058e-02,-2.718344981788e-02,3.686349104407e-02,7.518795371316e-02,-2.449044958514e-02,1.953857222267e-03,1.332068316258e-02,2.693000232735e-03
"                  51",3.624998438249e-02,6.152901361964e-02,-2.633249064883e-02,3.755717533771e-02,7.835098274360e-02,-2.196753008514e-02,1.307190955219e-03,1.682196912395e-02,4.364960563688e-03
"                  52",3.751798522670e-02,6.128655301496e-02,-2.537006397218e-02,3.877450491525e-02,7.773514710135e-02,-2.101120580903e-02,1.256519688552e-03,1.644859408638e-02,4.358858163153e-03
"                  53",3.877647141044e-02,6.106659602941e-02,-2.405614361547e-02,4.020078193283e-02,7.865613997356e-02,-2.071796037874e-02,1.424310522392e-03,1.758954394415e-02,3.338183236723e-03
"                  54",4.017533518672e-02,6.088246721972e-02,-2.246505294250e-02,4.151657015781e-02,7.833526148411e-02,-1.753208119683e-02,1.341234971086e-03,1.745279426438e-02,4.932971745679e-03
"                  55",4.185048906891e-02,6.077654079869e-02,-2.083384037653e-02,4.315967739907e-02,7.595761405186e-02,-1.646611231022e-02,1.309188330166e-03,1.518107325317e-02,4.367728066309e-03
"                  56",4.361918911456e-02,6.078171802535e-02,-1.936811471844e-02,4.520573036619e-02,7.947754719736e-02,-1.319996313224e-02,1.586541251630e-03,1.869582917201e-02,6.168151586204e-03
"                  57",4.530942943468e-02,6.085397920074e-02,-1.801672865778e-02,4.733035451714e-02,7.969254989436e-02,-1.258789533088e-02,2.020925082457e-03,1.883857069362e-02,5.428833326896e-03
"                  58",4.699639256861e-02,6.094085775289e-02,-1.640962169736e-02,4.852344095785e-02,7.966718814428e-02,-1.016370957746e-02,1.527048389237e-03,1.872633039139e-02,6.245912119903e-03
"                  59",4.879801076458e-02,6.100542807345e-02,-1.440992784479e-02,5.045481869884e-02,7.863622353945e-02,-9.413034667984e-03,1.656807934261e-03,1.763079546600e-02,4.996893176809e-03
"                  60",5.064209076393e-02,6.112982509162e-02,-1.234727314649e-02,5.210283765130e-02,7.820706850353e-02,-9.191389788467e-03,1.460746887371e-03,1.707724341191e-02,3.155883358026e-03
"                  61",5.241968456182e-02,6.128027704397e-02,-1.042525823347e-02,5.428271715931e-02,7.721073484151e-02,-5.490885170752e-03,1.863032597491e-03,1.593045779754e-02,4.934373062715e-03
"                  62",5.411613157619e-02,6.142404833012e-02,-8.497436113571e-03,5.546885669687e-02,7.834722906985e-02,-5.064650464635e-03,1.352725120685e-03,1.692318073973e-02,3.432785648936e-03
"                  63",5.571881414864e-02,6.156858107618e-02,-6.515991651174e-03,5.712514831811e-02,7.614857748785e-02,-2.923288828030e-03,1.406334169476e-03,1.457999641167e-02,3.592702823145e-03
"                  64",5.733346683200e-02,6.169485218506e-02,-4.312857838337e-03,5.924287348620e-02,8.164007186119e-02,1.971132063238e-03,1.909406654197e-03,1.994521967613e-02,6.283989901574e-03
"                  65",5.891305573884e-02,6.176559223978e-02,-2.260822887059e-03,6.107664653931e-02,7.782654152529e-02,1.938696167636e-03,2.163590800476e-03,1.606094928551e-02,4.199519054695e-03
"                  66",6.034475040560e-02,6.165026783835e-02,-3.692330155636e-04,6.308327278362e-02,8.018920248539e-02,5.971295332311e-03,2.738522378020e-03,1.853893464704e-02,6.340528347874e-03
"                  67",6.133397726119e-02,6.143772034327e-02,8.293693104185e-04,6.253759589744e-02,8.136944434153e-02,6.436503846510e-03,1.203618636251e-03,1.993172399826e-02,5.607134536092e-03
"                  68",6.194861667066e-02,6.140627315948e-02,5.812650558665e-04,6.339372231080e-02,8.281927257522e-02,5.733611898884e-03,1.445105640148e-03,2.141299941574e-02,5.152346843017e-03
"                  69",6.258952608804e-02,6.145616841629e-02,5.865212003913e-04,6.460222466827e-02,8.171825152767e-02,8.188190397372e-03,2.012698580233e-03,2.026208311138e-02,7.601669196981e-03
