Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                 526",7.614847193163e-01,1.460148811206e-01,5.445072105179e-02,9.156416006879e-02,-1.855671950850e-02
"                 527",7.807145611574e-01,1.488211267442e-01,5.720861765244e-02,9.161250909173e-02,-1.720194571965e-02
"                 528",7.887670548175e-01,1.621118341039e-01,6.456315142852e-02,9.754868267543e-02,-1.649276562346e-02
"                 529",7.919246075925e-01,1.631159451143e-01,6.096362245947e-02,1.021523226549e-01,-2.059435009769e-02
"                 530",7.953018530883e-01,1.743012503691e-01,6.913340124475e-02,1.051678491243e-01,-1.801722393978e-02
"                 531",7.938374785878e-01,1.842473085860e-01,7.013100750624e-02,1.141163010797e-01,-2.199264678675e-02
"                 532",7.928020657643e-01,1.888318108318e-01,7.404561523081e-02,1.147861956010e-01,-2.037029018508e-02
"                 533",8.033530224618e-01,1.926615196757e-01,7.702069406483e-02,1.156408256109e-01,-1.931006577304e-02
"                 534",7.950620551094e-01,1.915378040950e-01,7.949811329026e-02,1.120396908048e-01,-1.627078875726e-02
"                 535",8.084891985086e-01,1.944455013450e-01,7.525132786018e-02,1.191941734848e-01,-2.197142281231e-02
"                 536",8.021906317791e-01,2.046686356856e-01,8.159143771792e-02,1.230771979677e-01,-2.074288012489e-02
"                 537",7.997974628150e-01,2.173503729959e-01,8.481725571041e-02,1.325331172855e-01,-2.385793078754e-02
"                 538",7.818057776254e-01,2.153431519945e-01,9.159215893953e-02,1.237509930549e-01,-1.607941705770e-02
"                 539",8.027107524493e-01,2.287287410108e-01,9.239590302692e-02,1.363328379839e-01,-2.196846747850e-02
"                 540",8.003373732535e-01,2.315117078601e-01,9.690664074881e-02,1.346050671113e-01,-1.884921318125e-02
"                 541",7.731775027250e-01,2.325187989632e-01,9.448171359194e-02,1.380370853712e-01,-2.177768588964e-02
"                 542",8.064749283505e-01,2.399612485488e-01,9.496964373411e-02,1.449916048147e-01,-2.501098054028e-02
"                 543",7.958385064483e-01,2.360663146399e-01,9.179332083739e-02,1.442729938025e-01,-2.623983648256e-02
"                 544",8.112171979150e-01,2.329959429138e-01,9.213784679086e-02,1.408580961230e-01,-2.436012466606e-02
"                 545",8.112588720669e-01,2.157991212595e-01,8.159302299415e-02,1.342060982654e-01,-2.630653763560e-02
"                 546",7.778274052535e-01,2.110535995369e-01,8.219576709784e-02,1.288578324391e-01,-2.333103267061e-02
"                 547",7.928421823348e-01,2.019248050319e-01,7.535627533632e-02,1.265685296956e-01,-2.560612717965e-02
"                 548",8.056016577060e-01,2.043017000069e-01,7.792095558187e-02,1.263807444250e-01,-2.422989442158e-02
"                 549",8.114640612700e-01,1.854884155722e-01,6.624382476597e-02,1.192445908062e-01,-2.650038302013e-02
"                 550",8.013281740218e-01,1.790471063415e-01,6.679566034839e-02,1.122514459931e-01,-2.272789282237e-02
"                 551",7.924595719156e-01,1.701345347026e-01,6.307574183828e-02,1.070587928643e-01,-2.199152551300e-02
"                 552",8.189285871883e-01,1.493742735502e-01,5.055692743702e-02,9.881734611315e-02,-2.413020933806e-02
"                 553",8.068593873121e-01,1.412485786660e-01,4.814488606778e-02,9.310369259822e-02,-2.247940326522e-02
"                 554",7.933066076963e-01,1.366368451669e-01,4.518791536414e-02,9.144892980273e-02,-2.313050721930e-02
"                 555",8.134253695328e-01,1.320731169523e-01,4.376257130265e-02,8.831054564961e-02,-2.227398717348e-02
"                 556",7.896750480348e-01,1.215468561083e-01,4.138114167947e-02,8.016571442881e-02,-1.939228637467e-02
"                 557",7.846184329388e-01,1.253687876339e-01,4.049770464567e-02,8.487108298823e-02,-2.218668917128e-02
"                 558",8.135566344402e-01,1.240509247238e-01,3.871585704527e-02,8.533506767851e-02,-2.330960531662e-02
"                 559",7.929146957083e-01,1.043167000707e-01,3.263533735252e-02,7.168136271816e-02,-1.952301268282e-02
"                 560",7.946430148240e-01,9.663114747886e-02,3.098732537777e-02,6.564382210110e-02,-1.732824836166e-02
"                 561",7.912847176183e-01,9.691018091954e-02,3.220859419904e-02,6.470158672050e-02,-1.624649626073e-02
"                 562",8.111007761223e-01,9.187147762147e-02,3.012486556837e-02,6.174661205310e-02,-1.581087324237e-02
"                 563",8.150595157827e-01,9.438231916495e-02,3.364778414684e-02,6.073453501811e-02,-1.354337543564e-02
"                 564",8.225665932457e-01,8.267612018419e-02,2.965649956288e-02,5.301962062132e-02,-1.168156052922e-02
"                 565",8.075405168860e-01,7.301139183539e-02,2.695071973996e-02,4.606067209543e-02,-9.554976177732e-03
"                 566",8.001472255435e-01,7.392385948401e-02,2.983721836378e-02,4.408664112023e-02,-7.124711378229e-03
"                 567",7.973162504993e-01,7.136184151928e-02,2.840150255857e-02,4.296033896071e-02,-7.279418201070e-03
"                 568",7.925679521549e-01,9.621680871732e-02,4.487509787573e-02,5.134171084159e-02,-3.233306482928e-03
"                 569",8.151707870744e-01,9.417473148032e-02,4.032853563317e-02,5.384619584715e-02,-6.758830106989e-03
"                 570",7.806891175928e-01,1.134923117116e-01,4.821329984145e-02,6.527901187014e-02,-8.532856014344e-03
"                 571",7.993368238933e-01,1.227132723606e-01,5.105890212461e-02,7.165437023601e-02,-1.029773405570e-02
"                 572",7.727976899338e-01,1.354350223422e-01,5.992706609373e-02,7.550795624844e-02,-7.790445077351e-03
"                 573",7.844072572360e-01,1.535414111163e-01,6.798855259340e-02,8.555285852288e-02,-8.782152964741e-03
"                 574",7.471485903055e-01,1.657871943000e-01,7.594666985163e-02,8.984052444841e-02,-6.946927298392e-03
"                 575",7.748147417277e-01,1.730108606571e-01,7.679972683050e-02,9.621113382665e-02,-9.705703498077e-03
"                 576",7.860185524790e-01,1.640817318312e-01,7.292918336170e-02,9.115254846954e-02,-9.111682553919e-03
"                 577",7.731699138508e-01,1.663084648820e-01,7.288333480877e-02,9.342513007325e-02,-1.027089763224e-02
"                 578",7.808884386066e-01,1.676941293435e-01,7.619494388934e-02,9.149918545419e-02,-7.652120782428e-03
"                 579",8.018997303091e-01,1.623614606681e-01,7.634793138076e-02,8.601352928738e-02,-4.832798953308e-03
"                 580",7.736498098569e-01,1.698334848119e-01,7.978790938948e-02,9.004557542246e-02,-5.128833016491e-03
"                 581",7.825639565332e-01,1.635920579732e-01,7.678425693388e-02,8.680780103927e-02,-5.011772052695e-03
"                 582",7.830133935113e-01,1.715756227890e-01,8.123206504691e-02,9.034355774213e-02,-4.555746347609e-03
"                 583",7.955379395893e-01,1.763201894952e-01,8.008168362867e-02,9.623850586655e-02,-8.078411118937e-03
"                 584",7.789193803296e-01,1.644059247060e-01,7.683173853475e-02,8.757418617126e-02,-5.371223818254e-03
"                 585",7.737341548461e-01,1.732000050265e-01,7.797367488295e-02,9.522633014357e-02,-8.626327630313e-03
"                 586",7.831152809542e-01,1.749487170575e-01,7.921145982468e-02,9.573725723277e-02,-8.262898704046e-03
"                 587",7.747348859675e-01,1.732687554475e-01,7.714927354134e-02,9.611948190619e-02,-9.485104182424e-03
"                 588",7.547969070264e-01,1.833442098865e-01,8.130642448857e-02,1.020377853980e-01,-1.036568045470e-02
"                 589",7.767443416442e-01,1.859780711889e-01,7.845883930504e-02,1.075192318838e-01,-1.453019628940e-02
"                 590",7.928750816276e-01,1.882141357114e-01,7.818606747134e-02,1.100280682400e-01,-1.592100038435e-02
"                 591",7.736993486766e-01,1.842760816753e-01,7.744776117479e-02,1.068283205005e-01,-1.469027966285e-02
"                 592",7.939416587879e-01,1.761234778874e-01,7.308561507973e-02,1.030378628077e-01,-1.497612386397e-02
"                 593",7.637868679212e-01,1.674318492039e-01,7.282748633249e-02,9.460436287140e-02,-1.088843826946e-02
"                 594",7.803635102155e-01,1.639916740717e-01,7.168980693322e-02,9.230186713849e-02,-1.030603010263e-02
"                 595",7.772976552292e-01,1.694777152889e-01,7.508011213472e-02,9.439760315417e-02,-9.658745509724e-03
"                 596",7.929665503111e-01,1.637809147886e-01,7.020896203506e-02,9.357195275349e-02,-1.168149535922e-02
"                 597",7.981426281582e-01,1.706734162065e-01,7.412334895195e-02,9.655006725455e-02,-1.121335915130e-02
"                 598",7.862839248379e-01,1.640107976771e-01,7.348906081141e-02,9.052173686574e-02,-8.516338027162e-03
"                 599",7.936597988681e-01,1.711183630352e-01,7.947405986781e-02,9.164430316739e-02,-6.085121649790e-03
"                 600",7.745624237894e-01,1.650193244392e-01,7.812739144191e-02,8.689193299726e-02,-4.382270777676e-03
"                 601",7.454253556427e-01,1.678766745052e-01,7.914187656558e-02,8.873479793963e-02,-4.796460687024e-03
"                 602",7.768052374089e-01,1.808259248219e-01,8.133356079873e-02,9.949236402321e-02,-9.079401612241e-03
"                 603",7.792349868692e-01,1.845824756946e-01,8.119509776031e-02,1.033873779343e-01,-1.109614008701e-02
"                 604",7.992782746227e-01,1.812211045914e-01,7.821778938705e-02,1.030033152043e-01,-1.239276290864e-02
"                 605",7.814662284843e-01,1.802654093957e-01,8.128793199382e-02,9.897747740187e-02,-8.844772704025e-03
"                 606",7.909568669186e-01,1.756210207366e-01,7.654503056085e-02,9.907599017578e-02,-1.126547980747e-02
"                 607",7.974651324433e-01,1.833101629820e-01,8.258209457532e-02,1.007280684066e-01,-9.072986915658e-03
"                 608",7.932146985030e-01,1.681760308180e-01,7.639342508040e-02,9.178260573757e-02,-7.694590328581e-03
"                 609",7.892965810862e-01,1.676140190281e-01,7.361603532232e-02,9.399798370581e-02,-1.019097419174e-02
"                 610",7.918227474513e-01,1.632969145304e-01,7.166426548936e-02,9.163264904102e-02,-9.984191775829e-03
"                 611",7.991975416510e-01,1.624383703416e-01,7.167439808192e-02,9.076397225972e-02,-9.544787088898e-03
"                 612",7.817912375987e-01,1.736943155147e-01,8.003239391934e-02,9.366192159536e-02,-6.814763838009e-03
"                 613",7.957109126645e-01,1.660219326831e-01,7.395087859781e-02,9.207105408533e-02,-9.060087743757e-03
"                 614",8.165647672043e-01,1.725498191086e-01,7.729848689260e-02,9.525133221599e-02,-8.976422661695e-03
"                 615",8.043053944925e-01,1.860554961838e-01,8.288190331925e-02,1.031735928645e-01,-1.014584477263e-02
"                 616",7.899312946663e-01,1.898522325214e-01,8.464740913245e-02,1.052048233890e-01,-1.027870712826e-02
"                 617",8.093198169024e-01,1.932965318308e-01,8.771425805897e-02,1.055822737719e-01,-8.934007856452e-03
"                 618",7.838346821289e-01,2.041417392190e-01,9.302314492912e-02,1.111185942899e-01,-9.047724680404e-03
"                 619",7.818758191738e-01,2.137352453315e-01,9.618179773351e-02,1.175534475980e-01,-1.068582493226e-02
"                 620",7.478780173461e-01,2.162823358967e-01,1.013829065214e-01,1.148994293753e-01,-6.758261426970e-03
"                 621",7.763214058427e-01,2.238674162160e-01,9.982537697473e-02,1.240420392413e-01,-1.210833113327e-02
"                 622",7.942940165601e-01,2.316740249110e-01,1.009649681070e-01,1.307090568040e-01,-1.487204434851e-02
"                 623",7.926014688111e-01,2.325297813721e-01,1.005881182166e-01,1.319416631555e-01,-1.567677246944e-02
"                 624",7.776019172277e-01,2.360323679204e-01,1.029267439366e-01,1.331056239838e-01,-1.508944002356e-02
"                 625",7.446939369531e-01,2.343656804838e-01,1.046360576700e-01,1.297296228138e-01,-1.254678257193e-02
"                 626",7.899509511299e-01,2.326848137248e-01,1.011826030166e-01,1.315022107083e-01,-1.515980384584e-02
"                 627",7.851410750479e-01,2.363520605211e-01,1.052526921870e-01,1.310993683341e-01,-1.292333807351e-02
"                 628",7.916341508535e-01,2.276725250669e-01,9.780481333024e-02,1.298677117367e-01,-1.603144920323e-02
"                 629",7.794452249180e-01,2.240566494286e-01,9.750030477088e-02,1.265563446577e-01,-1.452801994340e-02
"                 630",7.864849128822e-01,2.298629363280e-01,9.607919001006e-02,1.337837463180e-01,-1.885227815395e-02
"                 631",7.618430317680e-01,2.304515268092e-01,9.790178604369e-02,1.325497407655e-01,-1.732397736089e-02
"                 632",8.036105128886e-01,2.314062843378e-01,9.633129531744e-02,1.350749890204e-01,-1.937184685147e-02
"                 633",7.665046146001e-01,2.297662551054e-01,9.856115059951e-02,1.312051045059e-01,-1.632197695320e-02
"                 634",7.863208250619e-01,2.244521327630e-01,9.465569974316e-02,1.297964330199e-01,-1.757036663835e-02
"                 635",7.781435680845e-01,2.245641885660e-01,9.523808741825e-02,1.293261011477e-01,-1.704400686475e-02
"                 636",7.878559680223e-01,2.115503252991e-01,8.848406976652e-02,1.230662555326e-01,-1.729109288305e-02
"                 637",7.780537494665e-01,2.063100234632e-01,8.680567399738e-02,1.195043494658e-01,-1.634933773421e-02
"                 638",7.678458172275e-01,1.850468176000e-01,7.702531179134e-02,1.080215058087e-01,-1.549809700866e-02
"                 639",7.866858904554e-01,1.735600915483e-01,7.003593558754e-02,1.035241559607e-01,-1.674411018660e-02
"                 640",8.077694092549e-01,1.676800496482e-01,6.582144816108e-02,1.018586014872e-01,-1.801857666304e-02
"                 641",7.760168187197e-01,1.681296346828e-01,7.065518423363e-02,9.747445044918e-02,-1.340963310777e-02
"                 642",7.978494998256e-01,1.662155443259e-01,7.199017025315e-02,9.422537407273e-02,-1.111760190979e-02
"                 643",7.991143904849e-01,1.595521007452e-01,6.644593898841e-02,9.310616175683e-02,-1.333011138421e-02
"                 644",8.144552314595e-01,1.574200997073e-01,6.548279836637e-02,9.193730134090e-02,-1.322725148727e-02
"                 645",7.734742511166e-01,1.601780024568e-01,6.952582245324e-02,9.065218000356e-02,-1.056317877516e-02
"                 646",7.904843928640e-01,1.599933998199e-01,6.869291605643e-02,9.130048376343e-02,-1.130378385350e-02
"                 647",7.802727038604e-01,1.679974771522e-01,7.707896937527e-02,9.091850777694e-02,-6.919769200834e-03
"                 648",7.574937848719e-01,1.747300934547e-01,7.922189340218e-02,9.550820005255e-02,-8.143153325183e-03
"                 649",7.964821848764e-01,1.778195084308e-01,7.919608048697e-02,9.862342794379e-02,-9.713673728414e-03
"                 650",7.993376666112e-01,1.807446831080e-01,8.405985412151e-02,9.668482898650e-02,-6.312487432496e-03
"                 651",8.090835228331e-01,1.811898650468e-01,8.145071098015e-02,9.973915406668e-02,-9.144221543265e-03
"                 652",7.879160843101e-01,1.827885039823e-01,8.815151084751e-02,9.463699313477e-02,-3.242741143629e-03
"                 653",8.136636985445e-01,1.734341978284e-01,8.253508191909e-02,9.089911590934e-02,-4.182016995128e-03
"                 654",7.673131199195e-01,1.751743231547e-01,8.752241529351e-02,8.765190786117e-02,-6.474628382775e-05
"                 655",7.896826140740e-01,1.775555805228e-01,8.645799658011e-02,9.109758394272e-02,-2.319793681309e-03
"                 656",7.721641595164e-01,1.689970625890e-01,8.450693713528e-02,8.449012545369e-02,8.405840795155e-06
"                 657",7.963287229181e-01,1.790234440081e-01,8.891358761935e-02,9.010985638875e-02,-5.981343846991e-04
"                 658",7.895817428456e-01,1.730970675849e-01,8.368463182930e-02,8.941243575562e-02,-2.863901963159e-03
"                 659",8.103967282497e-01,1.630400973662e-01,7.744906157481e-02,8.559103579141e-02,-4.070987108302e-03
"                 660",8.216037776369e-01,1.665428020863e-01,8.092329984858e-02,8.561950223772e-02,-2.348101194570e-03
"                 661",7.928758511687e-01,1.586349775076e-01,7.813788645283e-02,8.049709105477e-02,-1.179602300968e-03
"                 662",7.963825239815e-01,1.625873733524e-01,7.663775312629e-02,8.594962022612e-02,-4.655933549912e-03
"                 663",8.082056238099e-01,1.619776886612e-01,7.472010211174e-02,8.725758654950e-02,-6.268742218876e-03
"                 664",7.953182561955e-01,1.689983887271e-01,7.726706861852e-02,9.173132010856e-02,-7.232125745023e-03
"                 665",7.546476185793e-01,1.430846971719e-01,7.141650877499e-02,7.166818839694e-02,-1.258398109796e-04
"                 666",7.949281200947e-01,1.545481834102e-01,7.189171050314e-02,8.265647290709e-02,-5.382381201976e-03
"                 667",7.927772676249e-01,1.545957084499e-01,7.571250568421e-02,7.888320276568e-02,-1.585348540738e-03
"                 668",7.937695162028e-01,1.487655174910e-01,7.207223063469e-02,7.669328685630e-02,-2.310528110806e-03
"                 669",7.745382747332e-01,1.393377940524e-01,6.962517797995e-02,6.971261607242e-02,-4.371904623174e-05
"                 670",8.014898200239e-01,1.347563735630e-01,6.618880388839e-02,6.856756967464e-02,-1.189382893128e-03
"                 671",8.177346724979e-01,1.287119241846e-01,6.335269742082e-02,6.535922676379e-02,-1.003264671485e-03
"                 672",8.019935715748e-01,1.286490295240e-01,6.312306363262e-02,6.552596589137e-02,-1.201451129375e-03
"                 673",8.014062848407e-01,1.197574588904e-01,5.892988936277e-02,6.082756952762e-02,-9.488400824265e-04
"                 674",7.927056738908e-01,1.277290250096e-01,6.575528542505e-02,6.197373958458e-02,1.890772920238e-03
"                 675",7.886320737473e-01,1.313164155015e-01,6.552069421635e-02,6.579572128518e-02,-1.375135344120e-04
"                 676",7.845534343479e-01,1.353042999099e-01,6.528754110372e-02,7.001675880623e-02,-2.364608851256e-03
"                 677",8.167961830104e-01,1.394529697461e-01,6.500517232002e-02,7.444779742604e-02,-4.721312553008e-03
"                 678",7.906642510931e-01,1.407712658786e-01,6.701329424462e-02,7.375797163398e-02,-3.372338694677e-03
"                 679",7.863532029891e-01,1.434439446840e-01,6.765271048614e-02,7.579123419790e-02,-4.069261855880e-03
"                 680",7.893130782701e-01,1.453622885317e-01,7.279415323296e-02,7.256813529871e-02,1.130089671239e-04
"                 681",7.940694235270e-01,1.340039161597e-01,7.102648798913e-02,6.297742817053e-02,4.024529909300e-03
"                 682",7.826813108153e-01,1.504065712266e-01,7.901224739413e-02,7.139432383243e-02,3.808961780853e-03
"                 683",7.762808991822e-01,1.419640511778e-01,7.402530907394e-02,6.793874210381e-02,3.043283485061e-03
"                 684",8.201577113758e-01,1.508233271708e-01,7.441502538342e-02,7.640830178739e-02,-9.966382019863e-04
"                 685",7.707662627313e-01,1.483796629777e-01,7.709715842123e-02,7.128250455643e-02,2.907326932400e-03
"                 686",8.089768875586e-01,1.542915335693e-01,7.574012599682e-02,7.855140757248e-02,-1.405640787832e-03
"                 687",7.897092769930e-01,1.500942354739e-01,7.688906647038e-02,7.320516900357e-02,1.841948733406e-03
"                 688",7.879320985395e-01,1.628778873079e-01,8.334779466324e-02,7.953009264466e-02,1.908851009286e-03
"                 689",8.111712642508e-01,1.694318790353e-01,7.813106323696e-02,9.130081579838e-02,-6.584876280710e-03
"                 690",7.704486783457e-01,1.816617085495e-01,8.693385488781e-02,9.472785366172e-02,-3.896999386955e-03
"                 691",7.847234077517e-01,1.817953044969e-01,8.598653292291e-02,9.580877157403e-02,-4.911119325557e-03
"                 692",8.090908139514e-01,1.918135952308e-01,8.656499713045e-02,1.052485981004e-01,-9.341800484961e-03
"                 693",8.142124441835e-01,1.935604204271e-01,8.514557522783e-02,1.084148451993e-01,-1.163463498574e-02
"                 694",8.232893755211e-01,1.906867351752e-01,8.321960312598e-02,1.074671320493e-01,-1.212376446164e-02
"                 695",7.634926102107e-01,1.922975741534e-01,9.070647825388e-02,1.015910958995e-01,-5.442308822829e-03
"                 696",7.921016043531e-01,2.009355024710e-01,9.320112061949e-02,1.077343818515e-01,-7.266630616020e-03
"                 697",7.906057225942e-01,2.023572307336e-01,9.003639232893e-02,1.123208384046e-01,-1.114222303786e-02
"                 698",8.049167808708e-01,2.083218005493e-01,8.936062122802e-02,1.189611793212e-01,-1.480027904661e-02
"                 699",8.163548378444e-01,2.105534958760e-01,8.693942858592e-02,1.236140672901e-01,-1.833731935210e-02
"                 700",7.808443664082e-01,2.225881457239e-01,1.002487605615e-01,1.223393851624e-01,-1.104531230047e-02
"                 701",7.921500035373e-01,2.056825329220e-01,8.757919786084e-02,1.181033350612e-01,-1.526206860018e-02
"                 702",7.739819422768e-01,2.077346317129e-01,9.079319311164e-02,1.169414386013e-01,-1.307412274480e-02
"                 703",7.875532680903e-01,2.079829430421e-01,8.803383040841e-02,1.199491126337e-01,-1.595764111265e-02
"                 704",7.687035480401e-01,1.891737419594e-01,8.572934996880e-02,1.034443919906e-01,-8.857521010886e-03
"                 705",7.884480568665e-01,2.041458719631e-01,8.754308853627e-02,1.166027834269e-01,-1.452984744529e-02
"                 706",7.965747422804e-01,2.106922805576e-01,8.928657374940e-02,1.214057068082e-01,-1.605956652941e-02
"                 707",8.066035882022e-01,2.043395000847e-01,8.387704973658e-02,1.204624503481e-01,-1.829270030575e-02
"                 708",7.849175717301e-01,1.995234016772e-01,8.511980567983e-02,1.144035959974e-01,-1.464189515879e-02
"                 709",8.182305675615e-01,1.999537583892e-01,8.399231817375e-02,1.159614402155e-01,-1.598456102086e-02
"                 710",7.835940470870e-01,1.983856644247e-01,8.403500888783e-02,1.143506555369e-01,-1.515782332453e-02
"                 711",7.972106680091e-01,1.978460791574e-01,8.049781768373e-02,1.173482614737e-01,-1.842522189499e-02
"                 712",8.125256851536e-01,1.987826844094e-01,8.238668024863e-02,1.163960041608e-01,-1.700466195609e-02
"                 713",7.764763032366e-01,1.881287618576e-01,8.505260292379e-02,1.030761589338e-01,-9.011778005011e-03
"                 714",7.926539954734e-01,1.882091702879e-01,7.960348558939e-02,1.086056846985e-01,-1.450109955455e-02
"                 715",7.791014363251e-01,1.907947292244e-01,7.978404034531e-02,1.110106888790e-01,-1.561332426687e-02
"                 716",7.976209445725e-01,1.859542784571e-01,7.748577756960e-02,1.084685008875e-01,-1.549136165897e-02
"                 717",7.832305726364e-01,1.784548696852e-01,7.319468779329e-02,1.052601818919e-01,-1.603274704932e-02
"                 718",8.060317451480e-01,1.818543252151e-01,7.637891544357e-02,1.054754097715e-01,-1.454824716399e-02
"                 719",7.825042716429e-01,1.833707091539e-01,7.658349456575e-02,1.067872145882e-01,-1.510186001120e-02
"                 720",7.985258585020e-01,1.925895065517e-01,8.186745400693e-02,1.107220525447e-01,-1.442729926890e-02
"                 721",7.744032007015e-01,1.900504366613e-01,7.738111567884e-02,1.126693209824e-01,-1.764410265179e-02
"                 722",7.741205968007e-01,1.913441533653e-01,7.653160053301e-02,1.148125528323e-01,-1.914047614966e-02
"                 723",8.017330263433e-01,1.977293157119e-01,7.882896344122e-02,1.189003522707e-01,-2.003569441472e-02
"                 724",7.744778319796e-01,1.948428698360e-01,7.916703587107e-02,1.156758339649e-01,-1.825439904693e-02
"                 725",7.798237908086e-01,1.831224401379e-01,7.131885653163e-02,1.118035836063e-01,-2.024236353732e-02
"                 726",7.789684231986e-01,1.866171157704e-01,7.310588631853e-02,1.135112294518e-01,-2.020267156665e-02
"                 727",7.937602195969e-01,1.883700663400e-01,7.400618683487e-02,1.143638795051e-01,-2.017884633512e-02
"                 728",7.911364964162e-01,1.902122247666e-01,7.693123958896e-02,1.132809851777e-01,-1.817487279435e-02
"                 729",7.722453465695e-01,1.909415332293e-01,7.942735096003e-02,1.115141822693e-01,-1.604341565462e-02
"                 730",8.090609954442e-01,1.937375189861e-01,7.761467311030e-02,1.161228458758e-01,-1.925408638275e-02
"                 731",7.608545875081e-01,1.901013057892e-01,8.338951721923e-02,1.067117885700e-01,-1.166113567539e-02
"                 732",7.975878220809e-01,1.971600365417e-01,8.043164618120e-02,1.167283903605e-01,-1.814837208967e-02
"                 733",7.643944840749e-01,2.080312278707e-01,8.746808451556e-02,1.205631433552e-01,-1.654752941980e-02
"                 734",7.686355179847e-01,2.124724858386e-01,8.752095491335e-02,1.249515309253e-01,-1.871528800595e-02
"                 735",7.954573629380e-01,2.271931640634e-01,9.161736271230e-02,1.355758013511e-01,-2.197921931940e-02
"                 736",7.784695690950e-01,2.352151714275e-01,9.644482055322e-02,1.387703508743e-01,-2.116276516052e-02
"                 737",7.737281938720e-01,2.349262243327e-01,9.863893307039e-02,1.362872912623e-01,-1.882417909594e-02
"                 738",7.830623429844e-01,2.364109576294e-01,9.832726080125e-02,1.380836968282e-01,-1.987821801345e-02
"                 739",7.216726980748e-01,2.360588950666e-01,1.014784825849e-01,1.345804124816e-01,-1.655096494835e-02
"                 740",7.678154362979e-01,2.315346198062e-01,9.707914316184e-02,1.344554766443e-01,-1.868816674123e-02
"                 741",7.442301483380e-01,2.259252987363e-01,9.895365745681e-02,1.269716412795e-01,-1.400899191134e-02
"                 742",7.719617456327e-01,2.155151786187e-01,8.980617881527e-02,1.257089998035e-01,-1.795141049410e-02
"                 743",7.783780989256e-01,2.076700020512e-01,8.992645281584e-02,1.177435492354e-01,-1.390854820978e-02
"                 744",7.866850062259e-01,1.917672295370e-01,8.272063113483e-02,1.090465984022e-01,-1.316298363368e-02
"                 745",7.974861822363e-01,1.931528307229e-01,8.521092646768e-02,1.079419042552e-01,-1.136548889375e-02
"                 746",7.983849223684e-01,1.815746727608e-01,8.055680699711e-02,1.010178657637e-01,-1.023052938329e-02
"                 747",7.941046457588e-01,1.820811579303e-01,8.126672258715e-02,1.008144353431e-01,-9.773856377989e-03
"                 748",8.019340880026e-01,1.849660172394e-01,8.435703160413e-02,1.006089856353e-01,-8.125977015563e-03
"                 749",7.691234027613e-01,1.733049238470e-01,8.295964864915e-02,9.034527519781e-02,-3.692813274330e-03
"                 750",8.122754728556e-01,1.632789669908e-01,7.052453789293e-02,9.275442909783e-02,-1.111494560245e-02
"                 751",8.156802864589e-01,1.524072383655e-01,7.094009415735e-02,8.146714420811e-02,-5.263525025382e-03
"                 752",8.095998825028e-01,1.422351459206e-01,6.657010719520e-02,7.566503872539e-02,-4.547465765095e-03
"                 753",8.035852914940e-01,1.453182050357e-01,6.901794361628e-02,7.630026141945e-02,-3.641158901586e-03
"                 754",8.073286234244e-01,1.404171477303e-01,6.502057383635e-02,7.539657389397e-02,-5.188000028811e-03
"                 755",8.067619756019e-01,1.423444830813e-01,6.917884044935e-02,7.316564263198e-02,-1.993401091317e-03
"                 756",8.262033302244e-01,1.371861153115e-01,6.309697209676e-02,7.408914321475e-02,-5.496085558995e-03
"                 757",8.100605403049e-01,1.357642116343e-01,6.287508396065e-02,7.288912767364e-02,-5.007021856495e-03
"                 758",8.156765044749e-01,1.376756105027e-01,6.530745714850e-02,7.236815335416e-02,-3.530348102828e-03
"                 759",7.929487495819e-01,1.391208651705e-01,6.769910721382e-02,7.142175795666e-02,-1.861325371421e-03
"                 760",8.143027311706e-01,1.383946510036e-01,6.567362981485e-02,7.272102118872e-02,-3.523695686933e-03
"                 761",8.148213388952e-01,1.450102268213e-01,6.543395069468e-02,7.957627612667e-02,-7.071162715995e-03
"                 762",8.121344805193e-01,1.436922414666e-01,6.385447891984e-02,7.983776254672e-02,-7.991641813441e-03
"                 763",7.974058005898e-01,1.575942424544e-01,7.255973244931e-02,8.503451000504e-02,-6.237388777867e-03
"                 764",7.985449254456e-01,1.446592038923e-01,6.378860114462e-02,8.087060274767e-02,-8.541000801523e-03
"                 765",7.999724311899e-01,1.533484091281e-01,6.790536030669e-02,8.544304882137e-02,-8.768844257339e-03
"                 766",7.890990670386e-01,1.519972248403e-01,6.870230222356e-02,8.329492261675e-02,-7.296310196596e-03
"                 767",7.985585880042e-01,1.592085473213e-01,7.038745233721e-02,8.882109498407e-02,-9.216821323429e-03
"                 768",7.999148744412e-01,1.669028135296e-01,7.386683608589e-02,9.303597744371e-02,-9.584570678910e-03
"                 769",8.166913162508e-01,1.667083891089e-01,7.076968407722e-02,9.593870503168e-02,-1.258451047723e-02
"                 770",7.937336722260e-01,1.705010260231e-01,7.672818801805e-02,9.377283800506e-02,-8.522324993503e-03
"                 771",7.942149510925e-01,1.638194648765e-01,7.346003273395e-02,9.035943214252e-02,-8.449699704285e-03
"                 772",8.071477099062e-01,1.698242904380e-01,7.185851427941e-02,9.796577615861e-02,-1.305363093960e-02
"                 773",8.018499350264e-01,1.777232898664e-01,7.962333289285e-02,9.809995697354e-02,-9.238312040342e-03
