Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",1.941658120553e-02,5.652431910678e-01,-2.202145282730e-01,-6.119157407206e-02,1.139573636004e+01,-5.158302642461e-01,-8.060815527759e-02,1.083049316897e+01,-2.956157359732e-01
"                   2",-1.644391536801e-02,9.009669989748e-01,-5.043128990336e-01,-8.015593127167e-02,6.488844321014e+00,-8.215228172971e-01,-6.371201590366e-02,5.587877322039e+00,-3.172099182635e-01
"                   3",-4.833019249701e-02,6.829659372174e-01,-6.150065308942e-01,5.614153486707e-02,5.435743259488e+00,-1.060014394751e+00,1.044717273641e-01,4.752777322271e+00,-4.450078638570e-01
"                   4",-5.162767154844e-02,2.294654041229e-01,-5.276029951966e-01,2.418218324281e-01,5.824233305186e+00,-9.807276671582e-01,2.934495039766e-01,5.594767901063e+00,-4.531246719616e-01
"                   5",-4.028060919091e-02,1.293684517076e-03,-4.021119885424e-01,4.023225846406e-01,4.714439399486e+00,-4.768748455456e-01,4.426031938315e-01,4.713145714969e+00,-7.476285700317e-02
"                   6",1.135978952072e-04,1.145404945502e-01,-2.956624667538e-01,3.130148716120e-01,3.645799003623e+00,-2.765217560626e-01,3.129012737168e-01,3.531258509073e+00,1.914071069123e-02
"                   7",3.714242695717e-02,3.591633625315e-01,-2.271674524367e-01,2.127015784240e-01,2.525522017565e+00,-1.581271208836e-01,1.755591514668e-01,2.166358655034e+00,6.904033155315e-02
"                   8",5.464287588195e-02,4.883327898063e-01,-1.800927485951e-01,1.344006670926e-01,1.641800206123e+00,-1.856082964965e-01,7.975779121061e-02,1.153467416317e+00,-5.515547901413e-03
"                   9",5.304639355422e-02,4.333567866941e-01,-1.390633224054e-01,9.156667116429e-02,1.020065706994e+00,-1.680046079790e-01,3.852027761007e-02,5.867089203000e-01,-2.894128557360e-02
"                  10",4.105070624523e-02,3.020339747920e-01,-1.154829808601e-01,5.772849083514e-02,6.443124543252e-01,-1.461184074251e-01,1.667778458991e-02,3.422784795332e-01,-3.063542656504e-02
"                  11",3.080818258131e-02,2.253564464593e-01,-1.186265767126e-01,3.730899873861e-02,4.286312715963e-01,-1.376594876641e-01,6.500816157302e-03,2.032748251370e-01,-1.903291095146e-02
"                  12",3.025767963917e-02,2.409344084017e-01,-1.340972156483e-01,3.492822344202e-02,3.834051045177e-01,-1.475221609686e-01,4.670543802842e-03,1.424706961160e-01,-1.342494532037e-02
"                  13",3.799173364674e-02,2.984276028655e-01,-1.383093901341e-01,4.293216937322e-02,3.977803454483e-01,-1.522565347662e-01,4.940435726475e-03,9.935274258289e-02,-1.394714463208e-02
"                  14",4.609576285358e-02,3.332372924228e-01,-1.222795138784e-01,5.109024955770e-02,3.971289971262e-01,-1.273922229504e-01,4.994486704122e-03,6.389170470335e-02,-5.112709071996e-03
"                  15",5.138848357433e-02,3.234167162522e-01,-9.203803134803e-02,5.742621309348e-02,3.810330050339e-01,-9.230200279037e-02,6.037729519145e-03,5.761628878173e-02,-2.639714423314e-04
"                  16",5.518399110326e-02,2.905453572731e-01,-6.610289743757e-02,6.075485645547e-02,3.386251905312e-01,-6.622241390238e-02,5.570865352215e-03,4.807983325807e-02,-1.195164648061e-04
"                  17",6.247762952704e-02,2.665429464653e-01,-5.045427942473e-02,6.808595990410e-02,3.079975688459e-01,-5.396173640949e-02,5.608330377057e-03,4.145462238058e-02,-3.507456984757e-03
"                  18",7.223844770734e-02,2.641459906139e-01,-4.569586123470e-02,7.931373203943e-02,2.979215283910e-01,-4.626997231235e-02,7.075284332086e-03,3.377553777702e-02,-5.741110776529e-04
"                  19",8.148011731871e-02,2.738444875123e-01,-4.338402732885e-02,8.717557778322e-02,3.093142614451e-01,-4.436165798806e-02,5.695460464506e-03,3.546977393276e-02,-9.776306592169e-04
"                  20",8.862154208281e-02,2.807003344243e-01,-3.621404801548e-02,9.565434723837e-02,3.093010145365e-01,-3.676874004033e-02,7.032805155557e-03,2.860068011215e-02,-5.546920248432e-04
"                  21",9.373055285018e-02,2.776292831609e-01,-2.520793305560e-02,9.848922180208e-02,3.079304573569e-01,-2.612695386406e-02,4.758668951903e-03,3.030117419605e-02,-9.190208084636e-04
"                  22",9.773015170474e-02,2.685510503396e-01,-1.483604391589e-02,1.038066283782e-01,2.962330134265e-01,-1.477668567351e-02,6.076476673468e-03,2.768196308685e-02,5.935824237774e-05
