Time (s),PRESSURE_MOMENT_X,PRESSURE_MOMENT_Y,PRESSURE_MOMENT_Z,TOTAL_MOMENT_X,TOTAL_MOMENT_Y,TOTAL_MOMENT_Z,VISCOUS_MOMENT_X,VISCOUS_MOMENT_Y,VISCOUS_MOMENT_Z
"                   1",2.442382232652e-03,1.157392416915e-03,-1.675995506816e-02,1.974276063114e-02,1.065132411543e-03,-8.186420845800e-03,1.730037839848e-02,-9.226000537180e-05,8.573534222363e-03
"                   2",4.212400733484e-03,1.585150319475e-03,-1.664935320378e-02,1.648602508104e-02,2.355863263206e-03,-9.250170930009e-03,1.227362434755e-02,7.707129437317e-04,7.399182273773e-03
"                   3",3.756199636868e-03,1.450231260720e-03,-1.562305110680e-02,1.959234507059e-02,2.318960109961e-03,-1.010524155992e-02,1.583614543372e-02,8.687288492409e-04,5.517809546880e-03
"                   4",1.878739387522e-03,9.849151905378e-04,-1.428204854611e-02,9.876365169937e-03,-3.951533208281e-04,-1.233002107878e-03,7.997625782414e-03,-1.380068511366e-03,1.304904643824e-02
"                   5",5.547433352385e-04,5.409408935533e-04,-1.295689660206e-02,8.784369077424e-03,-1.903805752956e-03,-7.351881015309e-03,8.229625742186e-03,-2.444746646510e-03,5.605015586753e-03
"                   6",4.432951701633e-04,3.781669258115e-04,-1.177473799381e-02,3.271938075560e-03,-8.984315247955e-04,-8.230293968841e-03,2.828642905397e-03,-1.276598450607e-03,3.544444024971e-03
"                   7",1.152953577308e-03,4.995994396411e-04,-1.101242655526e-02,1.119805054337e-03,2.918588325581e-04,-8.928416225868e-03,-3.314852297102e-05,-2.077406070831e-04,2.084010329388e-03
"                   8",1.750040647220e-03,6.215698486795e-04,-1.062379913191e-02,1.471342448146e-03,7.067860837475e-04,-1.010758561506e-02,-2.786981990740e-04,8.521623506803e-05,5.162135168498e-04
"                   9",1.841991655683e-03,5.768314828691e-04,-1.011589450454e-02,1.568735882327e-03,7.422160380891e-04,-9.966862978604e-03,-2.732557733563e-04,1.653845552200e-04,1.490315259365e-04
"                  10",1.513232424686e-03,4.387965385852e-04,-9.464606352518e-03,1.315326843010e-03,6.097197115309e-04,-9.428742039247e-03,-1.979055816763e-04,1.709231729457e-04,3.586431327068e-05
"                  11",1.163975125889e-03,3.369959730965e-04,-8.716124563377e-03,8.767041227853e-04,4.559453777774e-04,-8.736641987618e-03,-2.872710031037e-04,1.189494046809e-04,-2.051742424066e-05
"                  12",1.092684561816e-03,3.249720530505e-04,-8.022596571073e-03,8.728563480013e-04,3.778702015097e-04,-8.057159967401e-03,-2.198282138145e-04,5.289814845912e-05,-3.456339632743e-05
"                  13",1.257260775945e-03,3.561403996815e-04,-7.442843669722e-03,1.004231064464e-03,4.078048161030e-04,-7.500332255239e-03,-2.530297114813e-04,5.166441642147e-05,-5.748858551706e-05
"                  14",1.450013827460e-03,3.737238838267e-04,-6.964185179804e-03,1.242116741538e-03,3.873959302560e-04,-7.026054148301e-03,-2.078970859224e-04,1.367204642928e-05,-6.186896849731e-05
"                  15",1.508742983402e-03,3.457916431799e-04,-6.491465514071e-03,1.324346856145e-03,3.729913508887e-04,-6.527988260809e-03,-1.843961272575e-04,2.719970770888e-05,-3.652274673862e-05
"                  16",1.349971791011e-03,3.008107343560e-04,-5.946896175687e-03,1.143314401452e-03,3.200727164498e-04,-5.996749310562e-03,-2.066573895591e-04,1.926198209382e-05,-4.985313487511e-05
"                  17",1.137472119087e-03,2.558819676907e-04,-5.368061590098e-03,9.777240829876e-04,2.580551388868e-04,-5.426605656629e-03,-1.597480360989e-04,2.173171196143e-06,-5.854406653067e-05
"                  18",9.839976644437e-04,2.251441906499e-04,-4.845684167791e-03,8.185744496635e-04,2.240459779666e-04,-4.920246569280e-03,-1.654232147802e-04,-1.098212683279e-06,-7.456240148858e-05
"                  19",9.318632297854e-04,2.061975040236e-04,-4.411665172926e-03,7.508704849297e-04,1.951300611081e-04,-4.476380751031e-03,-1.809927448557e-04,-1.106744291550e-05,-6.471557810494e-05
"                  20",9.360626670012e-04,1.936153573288e-04,-4.051221216469e-03,7.532010113219e-04,1.852680665071e-04,-4.103950477988e-03,-1.828616556793e-04,-8.347290821772e-06,-5.272926151887e-05
"                  21",9.231678261045e-04,1.822685804241e-04,-3.739427110851e-03,7.687795012494e-04,1.764646521155e-04,-3.798935422304e-03,-1.543883248551e-04,-5.803928308601e-06,-5.950831145382e-05
"                  22",8.558387094428e-04,1.681605174690e-04,-3.465949642255e-03,7.102678565089e-04,1.653835286863e-04,-3.526318552522e-03,-1.455708529339e-04,-2.776988782658e-06,-6.036891026711e-05
"                  23",7.362093994689e-04,1.620049171226e-04,-3.215100842571e-03,5.783332500599e-04,1.646426680273e-04,-3.269251811763e-03,-1.578761494090e-04,2.637750904692e-06,-5.415096919172e-05
"                  24",6.341572148765e-04,1.689368078997e-04,-2.980330311740e-03,4.911196323995e-04,1.695678502636e-04,-3.037986914266e-03,-1.430375824770e-04,6.310423639343e-07,-5.765660252608e-05
"                  25",5.596773108206e-04,1.911000090705e-04,-2.755827903248e-03,4.247471681940e-04,1.910225433937e-04,-2.808892695257e-03,-1.349301426266e-04,-7.746567682356e-08,-5.306479200853e-05
"                  26",5.068551635313e-04,2.181220295262e-04,-2.546753578721e-03,3.771559189566e-04,2.172239832628e-04,-2.594731826254e-03,-1.296992445748e-04,-8.980462634217e-07,-4.797824753243e-05
"                  27",4.330221458305e-04,2.415417696310e-04,-2.355189520263e-03,3.054538076931e-04,2.409023502930e-04,-2.398458444590e-03,-1.275683381374e-04,-6.394193380034e-07,-4.326892432779e-05
"                  28",3.187543054792e-04,2.592090460678e-04,-2.185597954713e-03,1.918929440871e-04,2.610581013564e-04,-2.218316308417e-03,-1.268613613921e-04,1.849055288545e-06,-3.271835370392e-05
"                  29",1.902284609702e-04,2.747332071016e-04,-2.031714676126e-03,6.717073108319e-05,2.761833262789e-04,-2.058563691535e-03,-1.230577298870e-04,1.450119177297e-06,-2.684901540885e-05
