Time (s),PRESSURE_MOMENT_X,PRESSURE_MOMENT_Y,PRESSURE_MOMENT_Z,TOTAL_MOMENT_X,TOTAL_MOMENT_Y,TOTAL_MOMENT_Z,VISCOUS_MOMENT_X,VISCOUS_MOMENT_Y,VISCOUS_MOMENT_Z
"                  20",8.439878195146e-03,-4.079016759428e-04,-5.231755940386e-05,7.924091939508e-03,-4.863256352737e-04,-4.163701781536e-04,-5.157862556384e-04,-7.842395933091e-05,-3.640526187497e-04
"                  21",8.286774348765e-03,-4.681821034592e-04,1.178955302850e-04,7.871583686652e-03,-4.786607767092e-04,-1.028663053294e-04,-4.151906621124e-04,-1.047867324999e-05,-2.207618356145e-04
"                  22",7.961347949638e-03,-5.268604392568e-04,3.462184150423e-04,7.548776173308e-03,-5.861745685175e-04,8.274433940461e-05,-4.125717763302e-04,-5.931412926068e-05,-2.634740756377e-04
"                  23",7.408771868429e-03,-5.407216097801e-04,6.059218347576e-04,6.893242584196e-03,-5.492726729003e-04,3.154893980337e-04,-5.155292842329e-04,-8.551063120198e-06,-2.904324367239e-04
"                  24",6.858758489762e-03,-4.914335179055e-04,8.261808862664e-04,6.373896743987e-03,-5.349669910256e-04,5.430844438350e-04,-4.848617457745e-04,-4.353347312007e-05,-2.830964424314e-04
"                  25",6.289498869809e-03,-3.399758893587e-04,1.046125743692e-03,5.830941371637e-03,-3.544309474054e-04,8.444232431438e-04,-4.585574981713e-04,-1.445505804678e-05,-2.017025005482e-04
"                  26",5.763062444814e-03,-1.647607073392e-04,1.206215982569e-03,5.343658310735e-03,-1.777369439643e-04,1.061333448322e-03,-4.194041340787e-04,-1.297623662510e-05,-1.448825342469e-04
"                  27",5.192049364718e-03,-4.339689913053e-05,1.297754862740e-03,4.814146378000e-03,-1.033264732249e-04,1.110738321182e-03,-3.779029867179e-04,-5.992957409437e-05,-1.870165415582e-04
"                  28",4.659315513145e-03,1.779953420099e-05,1.334478392046e-03,4.262355658975e-03,1.778278145706e-05,1.189168682825e-03,-3.969598541693e-04,-1.675274393108e-08,-1.453097092206e-04
"                  29",4.288853886932e-03,4.678812887436e-05,1.403577479705e-03,3.742087120106e-03,2.506049787302e-06,1.250700487986e-03,-5.467667668258e-04,-4.428207908705e-05,-1.528769917186e-04
"                  30",3.954794326587e-03,9.625181475455e-05,1.521116634207e-03,3.592653741940e-03,6.227586111523e-05,1.458663661355e-03,-3.621405846471e-04,-3.397595363932e-05,-6.245297285229e-05
"                  31",3.731577569876e-03,1.510248043470e-04,1.645692479596e-03,3.040488126324e-03,8.048823040637e-05,1.616154784178e-03,-6.910894435526e-04,-7.053657394060e-05,-2.953769541884e-05
"                  32",3.412413750322e-03,2.042923812493e-04,1.690689259723e-03,2.921312049072e-03,1.149000780180e-04,1.589495270295e-03,-4.911017012507e-04,-8.939230323128e-05,-1.011939894281e-04
"                  33",3.106429291970e-03,2.441172088446e-04,1.674142763376e-03,2.756504114065e-03,1.946069287198e-04,1.742842558890e-03,-3.499251779053e-04,-4.951028012477e-05,6.869979551372e-05
"                  34",2.773558757656e-03,2.653073584993e-04,1.615737246032e-03,2.266920775292e-03,1.447741599565e-04,1.482342976768e-03,-5.066379823637e-04,-1.205331985428e-04,-1.333942692639e-04
"                  35",2.507273849166e-03,2.692218119957e-04,1.546481131875e-03,1.706827549189e-03,1.456696455483e-04,1.736243437531e-03,-8.004462999775e-04,-1.235521664475e-04,1.897623056561e-04
"                  36",2.290226141386e-03,2.675863214418e-04,1.527193540936e-03,1.426706281379e-03,1.542435920826e-04,1.423447194421e-03,-8.635198600063e-04,-1.133427293592e-04,-1.037463465141e-04
"                  37",2.118075360143e-03,2.677980992423e-04,1.572961876929e-03,1.195845574369e-03,1.821651233298e-04,1.586616737100e-03,-9.222297857741e-04,-8.563297591244e-05,1.365486017131e-05
"                  38",2.018297793653e-03,2.668926304573e-04,1.622185183476e-03,1.286367064240e-03,1.932562601586e-04,1.492513954072e-03,-7.319307294123e-04,-7.363637029875e-05,-1.296712294036e-04
"                  39",1.997889736421e-03,2.687297044837e-04,1.607382168181e-03,4.566556955940e-04,1.116105446596e-04,1.850209943596e-03,-1.541234040827e-03,-1.571191598241e-04,2.428277754150e-04
"                  40",1.927088741965e-03,2.658544199235e-04,1.543520586906e-03,7.320160011868e-04,5.694138052746e-05,1.585654019515e-03,-1.195072740778e-03,-2.089130393960e-04,4.213343260843e-05
"                  41",1.821357166072e-03,2.677177684989e-04,1.456642958477e-03,1.001472908980e-03,-2.297440570198e-05,1.508489041059e-03,-8.198842570915e-04,-2.906921742009e-04,5.184608258184e-05
"                  42",1.731629476685e-03,2.809316912168e-04,1.427065900008e-03,9.195495761517e-04,1.315773944685e-04,1.448948296084e-03,-8.120799005331e-04,-1.493542967482e-04,2.188239607597e-05
"                  43",1.641603093718e-03,2.881413205113e-04,1.423951701247e-03,8.616435477790e-04,7.804464766230e-05,1.297163306817e-03,-7.799595459390e-04,-2.100966728490e-04,-1.267883944291e-04
